Ego_Position(m),Ego_Velocity(m/s),Time(s)
0.0,0.0,2.4081e-05
0.0,0.0,2.775009394
0.0,0.0,2.886936188
0.0,0.0,2.999603987
0.0,0.0,3.110560418
0.0,0.0,3.223572493
0.0,0.0,3.335052968
0.0,0.0,3.44737196
0.0,0.0833333366447025,3.55862546
0.009505172961034957,0.0833333366447025,3.672738314
0.018722276660623073,0.1388888888888889,3.783415318
0.034312235688400854,0.1388888888888889,3.895708323
0.049854345549511965,0.166666673289405,4.007672072
0.06853785929192807,0.2222222255335914,4.119828702
0.09338669166220452,0.3055555621782939,4.231704951
0.12776889007408526,0.3888888822661506,4.344282151
0.17081458239657704,0.4444444510671828,4.455024243
0.22072353914027842,0.5277777711550394,4.567374468
0.2800212527295235,0.5833333730697632,4.679782153
0.3455554117770168,0.66666669315762,4.792180062
0.41953129538322087,0.722222261958652,4.903213263
0.5012399824899169,0.8333333333333334,5.016436577
0.5936287716565836,0.91666665342119,5.127344132
0.6968612529982476,1.0277777910232544,5.240013123
0.8120292037602513,1.0555555423100789,5.352113963
0.9296101723959157,1.0833333598242865,5.463557959
1.051291667121416,1.25,5.5759582519999995
1.192057870871416,1.3611111376020644,5.688625813
1.3437770134631752,1.4166666401757135,5.800147057
1.5003137486193503,1.3888888888888888,5.910684824
1.6566590500082392,1.5555555290646024,6.023326159
1.8319883083557331,1.6944444179534912,6.136094809
2.020877696124858,1.638888915379842,6.247626544
2.203395816658409,1.8055555555555556,6.35904789
2.4056787163806312,1.8888889418707953,6.471135617
2.613438738763698,1.8055555555555556,6.581170321
2.8207892244581427,2.027777830759684,6.6960811620000005
3.0480313359510944,2.1111110846201577,6.808211804
3.2801491439272885,2.1111110846201577,6.918210984
3.5195309832567756,2.2222222222222223,7.031654835
3.7665336921456647,2.0833333333333335,7.142874957
4.001937765062332,2.5,7.255904913
4.278794187562331,2.3888889948527017,7.366698266
4.548026497060209,2.638888888888889,7.479466916
4.844962399976875,2.5,7.592054129
5.1229894574768755,2.7777777777777777,7.703319073
5.4392384574768755,2.58333338631524,7.817249775
5.722547507203963,2.8611111640930176,7.926975489
6.043772297041276,2.638888888888889,8.039317847
6.337439083707943,3.0555555555555554,8.150658131
6.6820143312079425,2.9166666666666665,8.263483048
7.006809676207943,2.9166666666666665,8.374880076
7.335324649124609,3.222222328186035,8.487572194
7.693483196569434,3.0277779367234974,8.598783732
8.033084447035973,3.3333333333333335,8.711004019
8.404699540369307,3.305555714501275,8.822544337
8.776191381537831,3.1388889418707953,8.934984446
9.128564127652265,3.6388889948527017,9.047283412
9.535131478352547,3.611111111111111,9.159079075
9.941200507519213,3.361111217074924,9.271600962
10.316972593699296,3.6388889948527017,9.383455754
10.72832117162214,3.944444391462538,9.496551276
11.163991752325753,3.5833334922790527,9.607077361
11.56173173663495,3.416666719648573,9.718136549
11.946618962436691,4.111111164093018,9.830871106
12.410355738635317,4.111111164093018,9.943731308
12.870894238903837,3.7777778837415905,10.055811406
13.29286053651745,3.75,10.167564393
13.71215775276745,4.1944445504082575,10.279431582
14.180286437815958,4.305555555555555,10.391108037
14.66224171128818,4.055555661519368,10.503106595
15.119614122571768,3.888888888888889,10.615962983
15.55248543479399,4.2222221692403155,10.72732687
16.022041232235175,4.277777936723497,10.838591099
16.505865278934433,4.500000211927626,10.951766015
17.00849195660565,4.2222221692403155,11.063511134
17.472367189007006,4.1944445504082575,11.173404694
17.963698652086126,4.2222221692403155,11.29061699
18.42413917430836,4.333333439297146,11.3997221
18.91118852821827,4.416666825612386,11.51218009
19.398976868022654,4.388888941870795,11.622678757
19.887932096203013,4.5555554495917425,11.734136343
20.407397214231185,4.472222328186035,11.848223925
20.902725514745157,4.388888941870795,11.959018469
