Ego_Position(m),Ego_Velocity(m/s),Obs_Position(m),Obs_Velocity(m),Time(s)
0.0,0.0,100.0,0.0,2.0027e-05
0.0,0.0,100.0,0.0,0.100688934
0.0,0.0,100.0,0.0,0.212455034
0.0,0.0,100.0,0.0,0.32165122
0.0,0.0,100.0,0.0,0.431043625
0.0,0.0,100.0,0.0,0.541883707
0.0,0.0,100.0,0.0,0.651030063
0.0,0.0,100.0,0.0,0.762284517
0.0,0.0833333366447025,100.0,0.0,0.871695518
0.009211103532683023,0.1111111127667957,100.0,0.0,0.982296467
0.021259056712211514,0.166666673289405,100.0,0.0,1.090793848
0.03977520061464361,0.1388888888888889,100.0,0.0,1.201958656
0.05491136964242139,0.1944444411330753,100.0,0.0,1.310998678
0.0764196126372493,0.166666673289405,100.0,0.0,1.421683788
0.09447723785479484,0.2222222255335914,100.0,0.0,1.530090093
0.11929587066906573,0.2500000099341075,100.0,0.0,1.641839504
0.14651326000058756,0.3055555621782939,100.0,0.0,1.750771761
0.1803874744292358,0.361111130979326,100.0,0.0,1.861695528
0.21982356521010757,0.4166666666666667,100.0,0.0,1.970962047
0.2660339535434409,0.4722222354676988,100.0,0.0,2.081930637
0.3174710349028788,0.5555555555555556,100.0,0.0,2.1909163
0.37896302712510105,0.6388888756434122,100.0,0.0,2.301666021
0.4486742470131778,0.6944444444444444,100.0,0.0,2.410839557
0.5256125852076222,0.7500000132454766,100.0,0.0,2.521694421
0.6074437441528124,0.8055555820465088,100.0,0.0,2.630862713
0.6959806383143765,0.8333333333333334,100.0,0.0,2.7408397190000002
0.7875089349810431,0.91666665342119,100.0,0.0,2.850739002
0.8897703968367381,1.0555555423100789,100.0,0.0,2.962366104
1.0042098432340456,1.1388888623979356,100.0,0.0,3.07084918
1.1296859886209822,1.1666667461395264,100.0,0.0,3.181080103
1.257818379349308,1.1111111111111112,100.0,0.0,3.2909672260000002
1.3806707049048637,1.2222222487131755,100.0,0.0,3.401597976
1.514132712908686,1.3888888888888888,100.0,0.0,3.510852337
1.6683935059642414,1.444444523917304,100.0,0.0,3.6219856740000003
1.8261754058675717,1.444444523917304,100.0,0.0,3.731279611
1.9864582126862786,1.638888915379842,100.0,0.0,3.8423166269999998
2.16380057124728,1.7500000529819064,100.0,0.0,3.950596809
2.3580982488797146,1.638888915379842,100.0,0.0,4.061695337
2.5372032423025406,1.83333330684238,100.0,0.0,4.171044111
2.74006387353795,1.91666669315762,100.0,0.0,4.281759739
2.9477082789078795,1.83333330684238,100.0,0.0,4.390166998
3.152213281786195,2.1111110846201577,100.0,0.0,4.501779318
3.382510552007456,2.055555582046509,100.0,0.0,4.610931158
3.6102318608311013,2.166666719648573,100.0,0.0,4.721778631
3.846801390282647,2.1944444709353976,100.0,0.0,4.831022978
4.091082281203786,2.1111110846201577,100.0,0.0,4.942406654
4.320158980884807,2.444444497426351,100.0,0.0,5.05097723
4.590849638974092,2.166666719648573,100.0,0.0,5.161787271
