Ego_Position(m),Ego_Velocity(m/s),Obs_Position(m),Obs_Velocity(m),Time(s)
0.0,0.0,100.0,0.0,2.3603e-05
0.0,0.0,100.0,0.0,0.072502136
0.0,0.0,100.0,0.0,0.182801723
0.0,0.0,100.0,0.0,0.29197216
0.0,0.0,100.0,0.0,0.402338504
0.0,0.0,100.0,0.0,0.511666536
0.0,0.0,100.0,0.0,0.622444868
0.0,0.0,100.0,0.0,0.732895612
0.0,0.2222222255335914,100.0,0.0,0.842613458
0.024256812583676894,0.1388888888888889,100.0,0.0,0.951842069
0.0396152738336769,0.1944444411330753,100.0,0.0,1.062508821
0.060594465976403375,0.1388888888888889,100.0,0.0,1.170470714
0.07614700667084782,0.166666673289405,100.0,0.0,1.282522678
0.09432268889308452,0.1944444411330753,100.0,0.0,1.391645431
0.1158669993872982,0.2777777777777778,100.0,0.0,1.502516269
0.14616947105396488,0.361111130979326,100.0,0.0,1.611678361
0.18625308717601885,0.4166666666666667,100.0,0.0,1.722752571
0.23164361342601886,0.500000019868215,100.0,0.0,1.831761837
0.2873194796383789,0.5833333730697632,100.0,0.0,1.943179845
0.3505868145314571,0.66666669315762,100.0,0.0,2.051704406
0.4252897161665503,0.8055555820465088,100.0,0.0,2.163833618
0.5149186601418047,0.9444444709353976,100.0,0.0,2.275195837
0.6158092722494878,1.0555555423100789,100.0,0.0,2.382088899
0.73151207190872,1.0833333598242865,100.0,0.0,2.491766691
0.8508498713269095,1.0833333598242865,100.0,0.0,2.601986885
0.9710580976830504,1.2777777512868245,100.0,0.0,2.713014841
1.1110423047808906,1.3611111376020644,100.0,0.0,2.8226318360000002
1.2596986818963734,1.3611111376020644,100.0,0.0,2.931914329
1.4117523992168666,1.4166666401757135,100.0,0.0,3.043692112
1.5679763683788903,1.638888915379842,100.0,0.0,3.15405488
1.747865188286608,1.6944444179534912,100.0,0.0,3.263893604
1.9309189840358552,1.6111111640930176,100.0,0.0,3.371997356
2.1108060592292768,1.83333330684238,100.0,0.0,3.483730793
2.311719842659484,1.8611111905839708,100.0,0.0,3.593407392
2.515820222402722,1.8611111905839708,100.0,0.0,3.7031424040000003
2.7178901223925886,2.1111110846201577,100.0,0.0,3.811786174
2.95249286222649,1.9444444444444444,100.0,0.0,3.9229815
3.16420915722649,2.250000105963813,100.0,0.0,4.03194642
3.4134341314637466,2.250000105963813,100.0,0.0,4.142786741
3.658242578243007,2.305555608537462,100.0,0.0,4.251662969
3.9135179074703714,2.41666661368476,100.0,0.0,4.362449646
4.177247930271807,2.2777777247958713,100.0,0.0,4.471643209
4.42819804804573,2.5,100.0,0.0,4.581882953
