Ego_Position(m),Ego_Velocity(m/s),Obs_Position(m),Obs_Velocity(m),Time(s)
0.0,0.0,100.0,0.0,1.5497e-05
0.0,0.0,100.0,0.0,0.041185856
0.0,0.0,100.0,0.0,0.14925766
0.0,0.0,100.0,0.0,0.259723425
0.0,0.0,100.0,0.0,0.369878054
0.0,0.0,100.0,0.0,0.480099678
0.0,0.0,100.0,0.0,0.590508223
0.0,0.05555555638339785,100.0,0.0,0.700232268
0.006114562424447413,0.2222222255335914,100.0,0.0,0.81037426
0.030422608564443298,0.2500000099341075,100.0,0.0,0.919830799
0.05777428715130131,0.1944444411330753,100.0,0.0,1.029304505
0.07927251645185532,0.0833333366447025,100.0,0.0,1.139933586
0.08838829223075036,0.1944444411330753,100.0,0.0,1.249384403
0.10988828339238546,0.1944444411330753,100.0,0.0,1.360027552
0.1311334844750263,0.2500000099341075,100.0,0.0,1.469357014
0.15876470882299246,0.361111130979326,100.0,0.0,1.5799553400000002
0.1983885741419733,0.4444444510671828,100.0,0.0,1.689751625
0.24736271798285603,0.500000019868215,100.0,0.0,1.800014734
0.30273245518305164,0.5555555555555556,100.0,0.0,1.9108276370000001
0.36347833018305165,0.6388888756434122,100.0,0.0,2.02027297
0.43291019016025345,0.7500000132454766,100.0,0.0,2.129014015
0.5160636778787968,0.8888889021343656,100.0,0.0,2.239950896
0.6148815042401861,1.0277777910232544,100.0,0.0,2.3511855600000002
0.7265561462071697,1.0833333598242865,100.0,0.0,2.459905386
0.8466143081429743,1.1111111111111112,100.0,0.0,2.570794106
0.9679561192540854,1.1388888623979356,100.0,0.0,2.680066109
1.0949865153826472,1.3611111376020644,100.0,0.0,2.7916836739999997
1.2427186762579199,1.4166666401757135,100.0,0.0,2.900308848
1.3970869934546433,1.444444523917304,100.0,0.0,3.009335041
1.555441602611706,1.5277777777777777,100.0,0.0,3.119021177
1.724165762611706,1.722222301695082,100.0,0.0,3.229523659
1.9146386132900655,1.7500000529819064,100.0,0.0,3.34018755
2.1080388226453293,1.7500000529819064,100.0,0.0,3.450768709
2.3005578387239147,2.00000007947286,100.0,0.0,3.560870171
2.5178310813575773,1.91666669315762,100.0,0.0,3.669570685
2.730466044046483,2.1111110846201577,100.0,0.0,3.780584097
2.962536037467722,2.1388889683617487,100.0,0.0,3.89057684
3.196649891944267,2.027777830759684,100.0,0.0,4.00009656
3.419630786492548,2.3333334922790527,100.0,0.0,4.110129595
3.6759244989511703,2.2222222222222223,100.0,0.0,4.220041275
3.9199692278400593,2.58333338631524,100.0,0.0,4.329927683
4.204676403429154,2.3888889948527017,100.0,0.0,4.440210104
4.465496381276109,2.8055556615193686,100.0,0.0,4.54945755
4.775491826928858,2.638888888888889,100.0,0.0,4.660022497
5.067508957067747,3.0277779367234974,100.0,0.0,4.770752192
5.398537899056498,2.694444391462538,100.0,0.0,4.880179167
5.6959016698204294,3.0000000529819064,100.0,0.0,4.990614414
6.02423982261909,2.9166666666666665,100.0,0.0,5.100133658
6.342319810952423,3.0555555555555554,100.0,0.0,5.209250212
6.682333911507979,3.3888888359069824,100.0,0.0,5.32058835
7.050850880968805,3.0555555555555554,100.0,0.0,5.429394484
7.391166580135471,3.5277777247958713,100.0,0.0,5.540835381
7.778005547492399,3.416666719648573,100.0,0.0,5.650553942
8.157223993622901,3.166666825612386,100.0,0.0,5.761611939
8.502302995776917,3.694444497426351,100.0,0.0,5.870647192
8.906305349542924,3.500000105963813,100.0,0.0,5.9800663
9.288984346628673,3.3333333333333335,100.0,0.0,6.089467049
9.654898849962008,3.8611112700568304,100.0,0.0,6.199284315
10.079130025814711,3.888888888888889,100.0,0.0,6.309227705
10.510423277481378,3.5277777247958713,100.0,0.0,6.420198202
10.897782877802708,3.75,100.0,0.0,6.530058623
11.311916842802708,4.111111164093018,100.0,0.0,6.640582323
11.765852947875027,4.138889047834608,100.0,0.0,6.751066685
12.222065784394964,3.805555502573649,100.0,0.0,6.861358404
12.634635589345507,3.888888888888889,100.0,0.0,6.969837666
13.063415242123284,4.416666825612386,100.0,0.0,7.080161095
13.553764511103164,4.361111058129205,100.0,0.0,7.191251993
14.033896981575726,4.027777777777778,100.0,0.0,7.301417113
14.475239901853504,3.91666677263048,100.0,0.0,7.411061049
14.902688721917956,4.305555555555555,100.0,0.0,7.520262957
15.377631808306845,4.527778095669216,100.0,0.0,7.630643368
15.87185359781129,4.500000211927626,100.0,0.0,7.739868641
16.36403146399042,4.388888941870795,100.0,0.0,7.849305868
16.849634050630307,4.166666666666667,100.0,0.0,7.960022211
17.309624950630308,4.388888941870795,100.0,0.0,8.070479155
17.787903829015118,4.2222221692403155,100.0,0.0,8.179514408
18.257561297566138,4.500000211927626,100.0,0.0,8.290813208
18.75116717131252,4.472222328186035,100.0,0.0,8.400563002
19.238662718779796,4.5555554495917425,100.0,0.0,8.509629488
19.738902267588493,4.6666669845581055,100.0,0.0,8.619482994
20.251853519863854,4.444444444444445,100.0,0.0,8.729462385
20.74390178653052,4.722222222222222,100.0,0.0,8.840238333
