Ego_Position(m),Ego_Velocity(m/s),Time(s)
0.0,0.0,1.8358e-05
0.0,0.0,0.043238878
0.0,0.0,0.152975321
0.0,0.0,0.262414217
0.0,0.0,0.371817589
0.0,0.0,0.482189655
0.0,0.0,0.592941999
0.0,0.2222222255335914,0.702143908
0.02457449192174402,0.361111130979326,0.812799931
0.06405802114967028,0.1944444411330753,0.922203302
0.08567826803147967,0.1944444411330753,1.033459663
0.10685675833747879,0.1388888888888889,1.14244318
0.1222450881985899,0.166666673289405,1.253309488
0.14044453275510416,0.2222222255335914,1.3625772
0.16491645178643083,0.2500000099341075,1.472763538
0.19242274487943267,0.33333334657881,1.5828580859999999
0.22919078534046328,0.4166666666666667,1.693232536
0.2745451515904633,0.500000019868215,1.802142143
0.32992740579115626,0.5833333730697632,1.912968636
0.3939688456536329,0.6944444444444444,2.022813559
0.47089426857029953,0.7777777645323012,2.133647442
0.5551153388026899,0.861111150847541,2.241980314
0.6507270613536323,0.91666665342119,2.353078365
0.7505621780777204,0.9444444709353976,2.462034464
0.8554183141855224,0.9722222222222222,2.573123217
0.9636945552966335,1.1111111111111112,2.684581041
1.081997059741078,1.2222222487131755,2.791111469
1.2181204285803613,1.2777777512868245,2.902557135
1.3602438592449622,1.2777777512868245,3.013874292
1.4988507624824678,1.4166666401757135,3.122421026
1.6556124458844366,1.5000000264909532,3.233148336
1.8199574752868741,1.5000000264909532,3.342783689
1.9854533512096364,1.5277777777777777,3.453185558
2.1523027124596363,1.7500000529819064,3.562467575
2.3457479843162643,1.777777804268731,3.673079729
2.5397444174292585,1.722222301695082,3.782279253
2.7300661637673116,1.9444444444444444,3.892860889
2.944178764878423,1.91666669315762,4.003055811
3.1547838721226067,2.027777830759684,4.112998009
3.3772856595472582,2.166666719648573,4.222787619
3.6202534684885954,2.027777830759684,4.334999084
3.838164320265517,2.250000105963813,4.442533255
4.088002982031675,2.250000105963813,4.553646326
4.333168699577761,2.5277778837415905,4.662681818
4.611713369059839,2.5,4.7729406359999995
4.888623434059839,2.6111112700568304,4.883776665
5.1740356827670215,2.555555502573649,4.993149281
5.4570036393449595,2.7500001589457193,5.103954554
5.756745043669545,2.66666677263048,5.213016987
6.052223239410793,2.833333280351427,5.323893547
6.361857640954119,2.66666677263048,5.433242321
6.6564718099943665,3.0277779367234974,5.54378438
6.988353289472316,2.7777777777777777,5.653462172
7.29414299780565,3.0555555555555554,5.763611794
