Ego_Position(m),Ego_Velocity(m/s),Obs_Position(m),Obs_Velocity(m),Time(s)
0.0,0.0,100.0,0.0,3.0994e-05
0.0,0.0,100.0,0.0,0.114745855
0.0,0.0,100.0,0.0,0.224518537
0.0,0.0,100.0,0.0,0.335173368
0.0,0.0,100.0,0.0,0.444426536
0.0,0.0,100.0,0.0,0.555163145
0.0,0.0,100.0,0.0,0.66463542
0.0,0.0,100.0,0.0,0.775434256
0.0,0.2222222255335914,100.0,0.0,0.885082245
0.024475257031376412,0.2500000099341075,100.0,0.0,0.995278358
0.051922660622038194,0.166666673289405,100.0,0.0,1.105130196
0.07038480268899111,0.1388888888888889,100.0,0.0,1.215964317
0.08552560768899112,0.1944444411330753,100.0,0.0,1.325040579
0.10702281712845138,0.2222222255335914,100.0,0.0,1.435668945
0.13128217282327728,0.2777777777777778,100.0,0.0,1.544906616
0.1621674453232773,0.361111130979326,100.0,0.0,1.656159639
0.20150487079316498,0.4166666666666667,100.0,0.0,1.7651693819999998
0.24753078287649832,0.500000019868215,100.0,0.0,1.875705481
0.3027252820697306,0.5555555555555556,100.0,0.0,1.986157894
0.36361222151417505,0.66666669315762,100.0,0.0,2.095820665
0.43635929640488397,0.8055555820465088,100.0,0.0,2.205003262
0.5284558198501743,0.91666665342119,100.0,0.0,2.319426536
0.6268782267613422,1.00000003973643,100.0,0.0,2.426885605
0.7358557870917212,1.0277777910232544,100.0,0.0,2.535936832
0.8489247134377848,1.0555555423100789,100.0,0.0,2.646022797
0.964346907378316,1.25,100.0,0.0,2.755437136
1.101331791128316,1.33333338631524,100.0,0.0,2.865098476
1.250957258407231,1.3055556350284152,100.0,0.0,2.977393627
1.3912301952238186,1.3888888888888888,100.0,0.0,3.084897518
1.5455840396682632,1.638888915379842,100.0,0.0,3.196098089
1.7256232964673015,1.6666666666666667,100.0,0.0,3.306028366
1.9081517914673014,1.6666666666666667,100.0,0.0,3.415611982
2.0901362964673016,1.8888889418707953,100.0,0.0,3.524869204
2.2997143650124747,1.8611111905839708,100.0,0.0,3.635888338
2.502650857928235,1.972222195731269,100.0,0.0,3.744989872
2.7215309645437857,2.1388889683617487,100.0,0.0,3.856031895
2.9585811157405435,1.9444444444444444,100.0,0.0,3.96692729
3.16987785990721,2.2777777247958713,100.0,0.0,4.07565546
3.4187067698415845,2.1944444709353976,100.0,0.0,4.184957981
3.662611482508182,2.41666661368476,100.0,0.0,4.29616785
3.9265374075553225,2.3888889948527017,100.0,0.0,4.405438423
4.189639593781287,2.555555502573649,100.0,0.0,4.5156402589999995
4.472435732696121,2.5277778837415905,100.0,0.0,4.626366138
4.750230683480104,2.66666677263048,100.0,0.0,4.73632741
5.044907156522828,2.638888888888889,100.0,0.0,4.846900701
5.33423273874505,2.7777777777777777,100.0,0.0,4.956623316
5.636999166522828,2.7222222752041287,100.0,0.0,5.065683365
5.936596502242702,3.1111110581292047,100.0,0.0,5.175804853
6.276693288450889,2.7777777777777777,100.0,0.0,5.285186052
6.583879071784222,3.1388889418707953,100.0,0.0,5.395837784
6.926395041176725,3.0277779367234974,100.0,0.0,5.505019903
7.261741540003241,3.1388889418707953,100.0,0.0,5.615844011
7.60858608119103,3.3888888359069824,100.0,0.0,5.726409197
7.978520236518588,3.1388889418707953,100.0,0.0,5.835637569
8.326926626066072,3.5277777247958713,100.0,0.0,5.946709156
8.712816003853929,3.5833334922790527,100.0,0.0,6.056158066
9.108941298674836,3.305555714501275,100.0,0.0,6.166777849
9.46953442184708,3.694444497426351,100.0,0.0,6.275924206
9.871661501447305,3.8611112700568304,100.0,0.0,6.384838343
10.300355554344836,3.5277777247958713,100.0,0.0,6.495934248
10.688602500125063,3.5833334922790527,100.0,0.0,6.606056452
11.081178893705218,4.00000015894572,100.0,0.0,6.715679884
11.523240335271161,4.00000015894572,100.0,0.0,6.826268434
11.961260108676504,3.6388889948527017,100.0,0.0,6.93584013
12.364783994510383,3.7777778837415905,100.0,0.0,7.046813965
12.776233808495682,4.333333439297146,100.0,0.0,7.155800342
13.254473517190167,4.333333439297146,100.0,0.0,7.266256094
13.74362842481823,3.888888888888889,100.0,0.0,7.379266024
14.155808713151563,4.166666666666667,100.0,0.0,7.485321522
14.61603604231823,4.277777936723497,100.0,0.0,7.595843077
15.089706962751347,4.472222328186035,100.0,0.0,7.706641436
15.578847746896493,4.388888941870795,100.0,0.0,7.816075087
16.05965157064512,4.500000211927626,100.0,0.0,7.925689936
16.558633662144693,4.027777777777778,100.0,0.0,8.036640167
17.000692967005804,4.472222328186035,100.0,0.0,8.146456242
17.488490264258008,4.416666825612386,100.0,0.0,8.255602837
17.97313429503257,4.500000211927626,100.0,0.0,8.36540246
18.468970697383998,4.472222328186035,100.0,0.0,8.475662231
18.96397378683471,4.416666825612386,100.0,0.0,8.586410046
19.447544797237324,4.5555554495917425,100.0,0.0,8.695963144
19.9510774887472,4.277777936723497,100.0,0.0,8.806581736
20.4204148490193,4.583333333333333,100.0,0.0,8.916367769
20.921881936935964,4.361111058129205,100.0,0.0,9.025855541
21.401626569441017,4.611111217074924,100.0,0.0,9.135928154
21.904301306992537,4.583333333333333,100.0,0.0,9.245009422
22.411393881992538,4.500000211927626,100.0,0.0,9.355713844
22.902350808114168,4.83333322736952,100.0,0.0,9.464881897
23.44049896298272,4.416666825612386,100.0,0.0,9.576311827
23.925965399203545,4.888888994852702,100.0,0.0,9.686292648
24.459816931663354,4.2222221692403155,100.0,0.0,9.795556307
24.925531326041632,4.861111111111111,100.0,0.0,9.905923843
25.459634145486078,4.111111164093018,100.0,0.0,10.015855551
25.90838223382487,4.638889100816515,100.0,0.0,10.125071526
26.42423045469695,4.527778095669216,100.0,0.0,10.236343622
26.923518366057085,4.5555554495917425,100.0,0.0,10.346679211
27.419132085417825,5.0277778837415905,100.0,0.0,10.455538511
27.97590074704099,4.638889100816515,100.0,0.0,10.566340685
28.485909302368505,5.16666677263048,100.0,0.0,10.676348686
29.055509658717178,4.444444444444445,100.0,0.0,10.786659479
29.539942303161624,5.055555767483181,100.0,0.0,10.895721197
30.100386099433063,4.1944445504082575,100.0,0.0,11.00664401
30.55677939554621,4.777777989705403,100.0,0.0,11.115516901
31.079933228418383,4.2222221692403155,100.0,0.0,11.225081921
31.54639556834283,4.583333333333333,100.0,0.0,11.335633039
32.05534691417616,4.6666669845581055,100.0,0.0,11.446751833
32.56552773892947,4.5555554495917425,100.0,0.0,11.556145191
33.065730355850135,5.083333651224772,100.0,0.0,11.666017771
33.62281800960484,4.611111217074924,100.0,0.0,11.775680542
34.13273102976714,5.19444465637207,100.0,0.0,11.886336327
34.70236822459105,4.472222328186035,100.0,0.0,11.996099234
35.19603315356561,5.111111005147298,100.0,0.0,12.106558084
35.75277851224536,4.1944445504082575,100.0,0.0,12.215559721
36.21062685278415,4.861111111111111,100.0,0.0,12.324780703
36.768799347228594,4.250000052981907,100.0,0.0,12.43968606
37.224247980656365,4.583333333333333,100.0,0.0,12.546944857
37.722806164406364,4.583333333333333,100.0,0.0,12.655795097
38.22857432565637,4.583333333333333,100.0,0.0,12.766211033
38.7305560989897,4.916666878594293,100.0,0.0,12.875800848
39.27725475405456,4.6666669845581055,100.0,0.0,12.987061262
39.78390746190087,5.249999894036187,100.0,0.0,13.095695019
40.360809837506906,4.694444338480632,100.0,0.0,13.205649853
