Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds,Vehicle | Braking Distance Captured
29:58.8,15.2,15.1,0.79,594,4.9,0.013,0,0
29:58.9,15.2,15.2,0.79,597,5,0,0,0
29:59.0,15.2,15.2,0.79,597,4.9,0,0,0
29:59.1,15.2,15.2,0.79,597,4.9,0,0,0
29:59.5,15.2,15.2,0.79,597,4.8,0,0,0
29:59.6,15.2,15.2,0.79,595,4.9,0.048,0,0
29:59.7,15.2,15.2,0.79,596,5,0,0,0
29:59.8,15.2,15.2,0.79,595,5,0,0,0
29:59.9,15.2,15.3,0.79,594,4.9,0.022,0,0
30:00.0,15.2,15.3,0.79,593,4.9,0,0,0
30:00.1,15.2,15.3,0.79,592,4.9,0.039,0,0
30:00.5,15.3,15.2,0.79,586,4.9,0,0,0
30:00.6,15.3,15.3,0.79,586,4.8,0.017,0,0
30:00.7,15.3,15.3,0.79,584,4.7,0,0,0
30:00.8,15.3,15.3,0.79,582,4.7,0,0,0
30:00.9,15.3,15.3,0.79,580,4.7,0.008,0,0
30:01.0,15.3,15.3,0.79,580,4.7,0,0,0
30:01.3,15.3,15.3,0.79,573,4.6,0.048,0,0
30:01.5,15.3,15.3,0.79,569,4.6,0,0,0
30:01.6,15.3,15.3,0.79,567,4.5,0,0,0
30:01.7,15.3,15.2,0.79,564,4.6,0.026,0,0
30:01.8,15.3,15.3,0.79,564,4.5,0.004,0,0
30:01.9,15.3,15.3,0.79,561,4.4,0,0,0
30:02.2,15.3,15.3,0.79,554,4.5,0.017,0,0
30:02.4,15.3,15.3,0.8,552,4.4,0,0,0
30:02.6,15.3,15.3,0.8,546,4.5,0.013,0,0
30:02.9,15.3,15.3,0.79,542,4.3,0,0,0
30:03.0,15.3,15.3,0.79,539,4.3,0,0,0
30:03.1,15.3,15.3,0.8,537,4.4,0.008,0,0
30:03.3,15.3,15.3,0.79,536,4.3,0.017,0,0
30:03.4,15.3,15.3,0.8,534,4.3,0,0,0
30:03.5,15.3,15.3,0.79,532,4.3,0.008,0,0
30:03.8,15.3,15.3,0.79,529,4.3,0,0,0
30:03.9,15.3,15.3,0.79,527,4.3,0.022,0,0
30:04.0,15.3,15.3,0.79,526,4.4,0.013,0,0
30:04.1,15.3,15.3,0.79,526,4.4,0,0,0
30:04.5,15.3,15.3,0.8,523,4.3,0.013,0,0
30:04.6,15.3,15.3,0.8,524,4.4,0,0,0
30:04.7,15.3,15.3,0.8,523,4.2,0,0,0
30:04.8,15.3,15.3,0.8,521,4.2,0.008,0,0
30:04.9,15.3,15.3,0.79,519,4.3,0.017,0,0
30:05.2,15.3,15.3,0.8,519,4.3,0,0,0
30:05.3,15.3,15.3,0.79,518,4.2,0,0,0
30:05.4,15.3,15.3,0.79,517,4.2,0.022,0,0
30:05.5,15.3,15.3,0.79,517,4.3,0,0,0
30:05.6,15.3,15.3,0.79,517,4.2,0.008,0,0
30:05.7,15.3,15.3,0.79,515,4.1,0,0,0
30:05.8,15.3,15.3,0.79,513,4.1,0,0,0
30:06.1,15.3,15.3,0.79,510,4.2,0.004,0,0
30:06.1,15.3,15.3,0.79,509,4.1,0,0,0
30:06.2,15.3,15.3,0.79,506,4,0,0,0
30:06.3,15.3,15.3,0.79,505,4.1,0.004,0,0
30:06.4,15.3,15.3,0.79,504,4.2,0.013,0,0
30:06.6,15.3,15.3,0.79,504,4.1,0,0,0
30:06.6,15.3,15.2,0.79,502,4,0,0,0
30:06.9,15.3,15.3,0.79,498,4.1,0.039,0,0
30:07.0,15.3,15.3,0.79,498,4.1,0,0,0
30:07.1,15.3,15.3,0.79,497,4,0,0,0
30:07.2,15.2,15.2,0.79,495,4,0,0,0
30:07.3,15.3,15.3,0.79,495,4.1,0.039,0,0
30:07.4,15.3,15.3,0.8,496,4.2,0.004,0,0
30:07.5,15.3,15.4,0.8,496,4.1,0,0,0
30:07.8,15.3,15.3,0.8,493,4.1,0.008,0,0
30:07.9,15.3,15.3,0.79,494,4.2,0.057,0,0
30:08.0,15.3,15.3,0.79,496,4.2,0.022,0,0
30:08.1,15.3,15.3,0.8,497,4.2,0,0,0
30:08.2,15.3,15.3,0.79,498,4.1,0,0,0
30:08.3,15.3,15.3,0.79,498,4.2,0.039,0,0
30:08.4,15.3,15.3,0.79,501,4.3,0.035,0,0
30:08.5,15.3,15.3,0.79,503,4.3,0.004,0,0
30:08.7,15.3,15.3,0.79,506,4.3,0.03,0,0
30:08.8,15.3,15.3,0.79,509,4.4,0.044,0,0
30:09.0,15.3,15.2,0.79,513,4.4,0,0,0
30:09.3,15.3,15.3,0.79,521,4.5,0.048,0,0
30:09.4,15.3,15.3,0.79,524,4.5,0.004,0,0
30:09.5,15.3,15.3,0.79,526,4.4,0,0,0
30:09.6,15.3,15.3,0.79,527,4.4,0.004,0,0
30:09.7,15.3,15.3,0.79,530,4.6,0.048,0,0
30:09.8,15.3,15.3,0.79,535,4.6,0,0,0
30:10.1,15.3,15.3,0.79,539,4.6,0.008,0,0
30:10.3,15.3,15.3,0.79,544,4.5,0,0,0
30:10.5,15.3,15.3,0.79,544,4.5,0,0,0
30:10.7,15.3,15.3,0.79,549,4.7,0,0,0
30:10.8,15.3,15.3,0.79,550,4.5,0,0,0
30:10.9,15.3,15.3,0.79,551,4.6,0.017,0,0
30:11.1,15.3,15.3,0.79,552,4.7,0.017,0,0
30:11.2,15.3,15.3,0.79,554,4.6,0,0,0
30:11.3,15.3,15.3,0.79,555,4.5,0,0,0
30:11.4,15.3,15.3,0.79,554,4.5,0,0,0
30:11.6,15.3,15.3,0.79,557,4.7,0,0,0
30:11.7,15.3,15.3,0.79,557,4.6,0,0,0
30:11.8,15.3,15.3,0.79,556,4.5,0,0,0
30:12.0,15.3,15.3,0.8,558,4.7,0.039,0,0
30:12.3,15.3,15.3,0.8,557,4.6,0,0,0
30:12.4,15.3,15.3,0.8,559,4.8,0.03,0,0
30:12.5,15.3,15.3,0.8,561,4.7,0,0,0
30:12.6,15.3,15.3,0.79,560,4.6,0,0,0
30:12.7,15.3,15.3,0.79,559,4.6,0.004,0,0
30:12.8,15.3,15.3,0.79,560,4.7,0.017,0,0
30:13.1,15.3,15.3,0.8,560,4.5,0,0,0
30:13.2,15.3,15.3,0.79,559,4.6,0.004,0,0
30:13.3,15.3,15.3,0.79,561,4.8,0.048,0,0
30:13.4,15.3,15.3,0.8,562,4.7,0,0,0
30:13.6,15.3,15.3,0.8,559,4.6,0.026,0,0
30:13.7,15.3,15.3,0.8,560,4.7,0.013,0,0
30:13.9,15.3,15.3,0.79,560,4.6,0,0,0
30:14.1,15.3,15.3,0.8,559,4.7,0.026,0,0
30:14.2,15.3,15.3,0.8,560,4.7,0,0,0
30:14.3,15.3,15.3,0.8,559,4.5,0,0,0
30:14.4,15.3,15.3,0.79,558,4.6,0,0,0
30:14.7,15.3,15.3,0.79,558,4.6,0.022,0,0
30:14.8,15.3,15.3,0.8,556,4.5,0,0,0
30:15.2,15.3,15.3,0.8,555,4.5,0,0,0
30:15.3,15.3,15.4,0.8,553,4.5,0,0,0
30:15.4,15.4,15.3,0.8,552,4.5,0,0,0
30:15.6,15.4,15.4,0.8,553,4.5,0,0,0
30:15.7,15.3,15.3,0.8,550,4.4,0,0,0
30:15.8,15.3,15.4,0.8,548,4.4,0.03,0,0
30:15.9,15.3,15.3,0.8,548,4.5,0.035,0,0
30:16.2,15.3,15.3,0.79,545,4.4,0,0,0
30:16.3,15.3,15.3,0.8,543,4.4,0,0,0
30:16.4,15.3,15.3,0.8,543,4.5,0.035,0,0
30:16.5,15.3,15.3,0.79,543,4.4,0,0,0
30:16.6,15.3,15.3,0.8,541,4.3,0,0,0
30:16.7,15.3,15.3,0.79,538,4.3,0.004,0,0
30:16.8,15.3,15.3,0.79,537,4.4,0.044,0,0
30:18.3,15.3,15.3,0.79,528,4.4,0.026,0,0
30:18.4,15.3,15.3,0.79,528,4.3,0,0,0
30:18.6,15.2,15.2,0.79,527,4.4,0.013,0,0
30:18.7,15.3,15.3,0.79,528,4.4,0.044,0,0
30:18.8,15.3,15.3,0.79,529,4.4,0,0,0
30:18.9,15.3,15.3,0.79,528,4.3,0,0,0
30:19.0,15.3,15.3,0.79,528,4.4,0.022,0,0
30:19.1,15.3,15.3,0.79,529,4.5,0.017,0,0
30:19.3,15.3,15.3,0.79,530,4.4,0,0,0
30:19.5,15.3,15.3,0.79,528,4.4,0.022,0,0
30:19.6,15.3,15.2,0.79,529,4.5,0.057,0,0
30:19.7,15.3,15.2,0.79,530,4.4,0,0,0
30:19.8,15.3,15.3,0.79,531,4.3,0,0,0
30:19.9,15.3,15.3,0.79,531,4.3,0,0,0
30:20.0,15.3,15.3,0.79,531,4.4,0.017,0,0
30:20.4,15.3,15.3,0.8,533,4.4,0,0,0
30:20.6,15.3,15.3,0.8,536,4.5,0.004,0,0
30:20.7,15.3,15.3,0.79,535,4.4,0,0,0
30:20.8,15.3,15.3,0.8,535,4.5,0.026,0,0
30:20.9,15.3,15.3,0.8,536,4.5,0.035,0,0
30:21.1,15.3,15.3,0.79,538,4.5,0,0,0
30:21.2,15.3,15.3,0.79,537,4.4,0,0,0
30:21.3,15.3,15.3,0.8,537,4.4,0,0,0
30:21.4,15.3,15.3,0.8,537,4.5,0.022,0,0
30:21.5,15.3,15.3,0.79,539,4.5,0,0,0
30:21.6,15.3,15.3,0.8,539,4.4,0,0,0
30:21.7,15.3,15.3,0.8,539,4.4,0,0,0
30:21.8,15.3,15.3,0.8,538,4.5,0,0,0
30:22.3,0,0,0.3,508,4,0.234,0,0
30:22.4,0,0,0.31,505,3.7,0,0,0
30:22.5,0,0,0.3,498,4.2,0.084,0,0
30:22.6,0,0,0.3,494,3.7,0,0,0
30:22.7,0,0,0.3,491,3.7,0.084,0,0
30:22.9,0,0,0.3,472,3.4,0.004,0,0
30:23.0,0,0,0.3,462,3.2,0,0,0
30:23.1,0,0,0.3,451,3,0,0,0
30:23.4,0,0,0.3,413,2.6,0,0,0
30:23.5,0,0,0.3,399,2.5,0,0,0
30:23.6,0,0,0.31,386,2.3,0,0,0
30:23.7,0,0,0.3,362,2.1,0,0,0
30:24.1,0,0,0.3,307,1.6,0,0,0
30:24.2,0,0,0.3,291,1.4,0,0,0
30:24.3,0,0,0.3,270,1.3,0,0,0
30:24.4,0,0,0.3,254,1.1,0,0,0
