Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Inputs | Analog 1,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds
19:53.5,15.9,15.9,0.83,0.05,510,4.3,0,0
19:53.7,15.9,15.9,0.83,0.05,512,4.3,0,0
19:53.9,15.9,15.9,0.83,0.05,518,4.5,0.022,0
19:54.0,15.9,15.9,0.83,0.05,521,4.4,0,0
19:54.0,15.9,15.9,0.83,0.05,523,4.4,0,0
19:54.1,15.9,15.9,0.83,0.05,523,4.4,0,0
19:54.2,15.9,15.9,0.83,0.04,525,4.5,0.057,0
19:54.8,15.9,15.9,0.83,0.04,541,4.7,0.017,0
19:55.0,15.9,15.9,0.83,0.05,544,4.5,0,0
19:55.1,15.9,15.9,0.83,0.05,545,4.6,0.022,0
19:55.2,15.9,15.9,0.83,0.04,549,4.7,0,0
19:55.3,15.9,15.9,0.83,0.05,552,4.6,0,0
19:55.4,15.9,15.9,0.83,0.05,552,4.5,0,0
19:55.8,15.9,15.9,0.83,0.05,560,4.6,0,0
19:56.5,15.9,15.9,0.83,0.05,569,4.9,0,0
19:56.6,15.9,15.9,0.83,0.05,570,4.7,0.004,0
19:56.7,15.9,15.9,0.83,0.05,569,4.7,0.044,0
19:56.8,15.9,15.9,0.83,0.05,570,4.9,0.03,0
19:57.4,15.9,15.9,0.83,0.05,576,4.7,0,0
19:58.0,15.9,15.9,0.83,0.05,574,4.7,0.004,0
19:58.1,15.9,15.9,0.83,0.05,573,4.8,0.004,0
19:58.1,15.9,15.9,0.83,0.04,574,4.8,0,0
19:58.7,15.9,15.9,0.83,0.05,571,4.7,0,0
19:58.8,15.9,15.9,0.83,0.05,568,4.6,0,0
19:58.9,15.9,15.9,0.83,0.04,567,4.7,0.057,0
19:59.1,15.9,15.9,0.83,0.05,567,4.6,0,0
19:59.2,15.9,15.9,0.83,0.05,565,4.6,0,0
19:59.3,15.9,15.9,0.83,0.05,563,4.6,0,0
19:59.6,15.9,15.9,0.83,0.04,563,4.5,0,0
20:00.0,15.9,15.9,0.83,0.04,563,4.7,0,0
20:00.4,15.9,15.9,0.83,0.04,564,4.7,0,0
