Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Inputs | Analog 1,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds
28:24.0,63.2,63.2,3.14,0.05,1860,16.1,0,5.34
28:24.5,63.2,63.2,3.14,0.04,1901,16.6,0,5.86
28:24.6,63.2,63.1,3.14,0.05,1904,15.7,0,5.94
28:24.7,63.2,63.2,3.14,0.05,1913,16.3,0.004,6.03
28:24.8,63.2,63.2,3.14,0.05,1921,16.3,0.079,6.14
28:24.9,63.2,63.1,3.14,0.04,1924,16.7,0.292,6.23
28:25.0,63.2,63.2,3.14,0.04,1930,16.6,0,6.33
28:25.1,63.2,63.2,3.14,0.04,1934,15.9,0,6.42
28:25.6,63.2,63.1,3.13,0.05,1962,16.8,0,6.95
28:25.9,63.2,63.2,3.14,0.05,1974,16.4,0,7.16
28:25.9,63.2,63.2,3.14,0.04,1979,16.7,0.048,7.26
28:26.1,63.2,63.2,3.14,0.04,1988,17,0.199,7.46
28:26.3,63.2,63.1,3.13,0.04,1996,17.1,0.119,7.56
28:26.4,63.2,63.2,3.14,0.05,1997,17,0,7.67
28:27.3,63.2,63.2,3.14,0.05,2023,17.4,0,8.64
28:27.4,63.2,63.2,3.14,0.04,2028,17.2,0,8.73
28:27.5,63.2,63.2,3.14,0.05,2032,16.7,0.088,8.83
28:27.8,63.2,63.2,3.14,0.05,2044,17.2,0.07,9.15
28:27.9,63.2,63.2,3.14,0.05,2049,17.4,0.181,9.24
28:28.0,63.2,63.1,3.14,0.05,2049,17.6,0.318,9.36
28:28.2,63.2,63.2,3.13,0.05,2057,17.6,0,9.46
28:28.7,63.1,63.1,3.14,0.05,2097,17.7,0.11,9.96
28:28.7,63.1,63.2,3.14,0.04,2102,18.1,0.123,10.05
28:28.8,63.2,63.2,3.14,0.04,2109,18.1,0.022,10.15
28:29.4,63.2,63.1,3.14,0.05,2107,16.9,0.013,10.66
28:29.6,63.1,63.2,3.14,0.04,2098,17.3,0.079,10.87
28:29.7,63.2,63.2,3.14,0.05,2095,17.6,0.243,10.97
28:29.8,63.2,63.1,3.14,0.05,2094,17.6,0,11.06
28:29.9,63.2,63.1,3.14,0.04,2091,17.1,0,11.16
28:30.0,63.2,63.2,3.13,0.05,2091,17.4,0.278,11.26
28:30.1,63.2,63.2,3.13,0.05,2092,17.1,0,11.36
28:30.9,63.1,63.2,3.14,0.05,2081,17.4,0.004,12.15
28:31.2,63,63,3.13,0.05,2075,17.4,0,12.45
28:31.8,63.1,63.1,3.13,0.05,2064,17.1,0,13.04
28:31.9,63.1,63.1,3.13,0.05,2064,17.1,0,13.14
28:32.0,63.2,63.1,3.13,0.05,2064,16.7,0,13.25
28:32.1,63.1,63.1,3.13,0.05,2062,17.1,0.305,13.34
28:32.1,63.1,63.1,3.13,0.05,2063,17.4,0,13.42
28:32.2,62.9,62.9,3.13,0.05,2059,17.3,0,13.53
28:32.8,63.1,63.1,3.13,0.05,2056,17.4,0,14.12
28:32.9,63.1,63.1,3.14,0.05,2056,16.8,0,14.21
28:33.0,63.1,63,3.13,0.05,2056,17.2,0.159,14.27
28:33.4,62.9,63,3.13,0.04,2059,16.9,0,14.66
28:33.7,63,63.1,3.13,0.05,2061,17.5,0,14.96
28:33.8,63.1,63.2,3.13,0.04,2064,17.5,0.022,15.06
28:34.3,63.1,63.1,3.13,0.05,2075,17,0,15.62
28:34.4,63.1,63.1,3.13,0.04,2077,17.4,0.132,15.71
28:34.6,63.1,63.1,3.13,0.04,2081,17.1,0,15.83
28:34.7,63.1,63.1,3.13,0.05,2083,17.3,0,15.94
28:35.2,63.1,63.1,3.13,0.05,2091,17.1,0,16.52
28:35.3,63.1,63.1,3.13,0.05,2089,17.4,0.269,16.62
28:35.4,63.1,63.1,3.13,0.05,2091,17.4,0.101,16.72
28:35.6,63.1,63.1,3.13,0.05,2090,17.3,0.19,16.86
28:35.7,63.1,63.1,3.13,0.05,2091,17.3,0,16.96
28:35.8,63.1,63.1,3.13,0.04,2087,17.6,0.053,17.06
28:37.0,63.1,63.1,3.13,0.05,2088,17.2,0.035,18.27
28:37.1,63.1,62.7,3.09,0.05,2090,17.4,0.044,18.36
28:37.5,63.1,63.1,3.13,0.05,2093,17.5,0.3,18.73
28:37.8,63.1,63.1,3.14,0.05,2099,17.4,0,19.11
28:38.0,63.1,63.1,3.14,0.05,2106,17.4,0.066,19.3
28:38.2,63.1,63.1,3.13,0.04,2111,17.9,0.092,19.5
28:38.3,63.1,63.1,3.13,0.05,2111,17.9,0.203,19.59
28:38.4,63.1,63.1,3.13,0.05,2114,17.8,0,19.68
28:38.9,63.1,63.1,3.13,0.05,2122,17.8,0.163,20.19
28:39.0,63.1,63.1,3.13,0.05,2120,18,0,20.28
28:39.1,63.1,63.1,3.14,0.04,2121,17.9,0,20.4
28:39.2,63.1,63.1,3.13,0.05,2121,17.7,0,20.49
28:39.4,63.1,63.1,3.13,0.04,2125,17.4,0,20.68
28:39.5,63.1,63.1,3.13,0.05,2125,17.7,0.274,20.78
28:40.2,63.1,63.1,3.13,0.05,2128,17.8,0.181,21.45
28:40.3,63.1,63.1,3.13,0.05,2131,17.9,0.03,21.55
28:40.4,63.1,63.1,3.13,0.05,2128,17.8,0,21.63
28:41.2,63.1,63.1,3.13,0.05,2129,17.9,0,22.42
28:41.2,63.1,63.1,3.13,0.05,2131,17.4,0.026,22.5
28:41.4,63.1,63.1,3.13,0.05,2130,17.8,0.035,22.65
28:41.5,63.2,63.1,3.13,0.04,2130,17.5,0,22.75
28:41.6,63.2,63.1,3.13,0.04,2131,17.7,0,22.85
28:41.7,63.1,63.1,3.13,0.04,2134,17.5,0.119,22.95
28:42.4,63.1,63.1,3.13,0.05,2141,17.8,0,23.62
28:42.5,63.1,63.1,3.13,0.04,2141,18.1,0,23.79
28:42.8,63.1,63,3.13,0.05,2140,18,0,24.02
28:42.9,63,63.1,3.13,0.05,2141,17.5,0,24.1
28:42.9,63.1,63.1,3.13,0.05,2141,17.9,0.128,24.18
28:43.3,63,63,3.13,0.05,2141,17.7,0,24.53
28:43.4,63.1,63.1,3.13,0.04,2139,17.7,0,24.66
28:43.5,63.1,63.1,3.13,0.04,2141,17.8,0.168,24.74
28:43.6,63.1,63.1,3.13,0.05,2138,17.9,0,24.81
28:43.8,63,63,3.13,0.05,2140,17.5,0.057,25
28:44.9,63.1,63.1,3.13,0.05,2150,17.8,0.053,26.11
28:45.0,63.1,63.1,3.13,0.05,2149,17.9,0.225,26.22
28:45.8,63.1,63.1,3.13,0.05,2149,17.6,0,27.04
28:45.9,63.1,63.2,3.13,0.05,2149,17.7,0,27.14
28:46.0,63.1,63.1,3.13,0.05,2149,17.6,0.177,27.26
