Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds
01:13.5,100,100,4.85,1656,15.8,0.973,3.94
01:14.0,100,100,4.85,1736,16.7,1.314,4.39
01:14.1,100,100,4.85,1750,14.5,0,4.48
01:14.2,100,100,4.85,1771,14.5,0,4.6
01:14.3,100,100,4.85,1791,15.6,0,4.71
01:14.4,100,100,4.85,1797,16.4,0.309,4.79
01:14.8,100,100,4.85,1849,15.8,0.694,5.2
01:14.9,100,100,4.85,1852,16.9,0,5.28
01:15.0,100,100,4.85,1863,15.2,0,5.36
01:15.2,100,100,4.85,1880,16.1,0.057,5.56
01:15.3,100,100,4.85,1890,16.5,0.061,5.66
01:16.0,100,100,4.85,1936,17.4,0.46,6.41
01:16.1,100,100,4.85,1943,16.4,0,6.51
01:16.2,100,100,4.85,1949,16.3,0.146,6.6
01:16.4,100,100,4.85,1963,16.3,0.208,6.8
01:16.5,100,100,4.85,1964,17.3,0.606,6.9
01:16.6,100,100,4.85,1970,16.5,0,6.99
01:16.7,100,100,4.85,1976,16.7,0,7.1
01:17.2,100,100,4.85,1999,17.4,0.234,7.61
01:18.0,100,100,4.85,2031,17.1,0.026,8.42
01:18.6,100,100,4.85,2051,17.3,0.181,8.94
01:18.7,100,100,4.85,2057,17.3,0,9.13
01:18.8,100,100,4.85,2059,17.2,0,9.22
01:18.9,100,100,4.85,2067,17.2,0.46,9.31
01:20.2,100,100,4.85,2115,18.4,0,10.63
01:20.4,100,100,4.85,2121,17.9,0,10.74
01:21.8,100,100,4.85,2158,17.9,0.017,12.15
01:21.9,100,100,4.85,2162,18.2,0.185,12.24
01:22.3,100,100,4.85,2167,17.8,0,12.72
01:22.4,100,100,4.85,2169,18,0.23,12.82
01:22.5,100,100,4.85,2171,18.4,0.203,12.91
01:22.6,100,100,4.85,2173,18.4,0,13
01:23.0,100,100,4.85,2182,18.3,0,13.42
01:23.3,100,100,4.85,2188,18.3,0,13.63
01:23.8,100,100,4.85,2199,18.2,0.061,14.15
01:24.3,100,100,4.85,2207,18.9,0.269,14.64
01:24.4,100,100,4.85,2209,18.5,0,14.74
01:24.9,100,100,4.85,2213,18.4,0,15.28
01:25.0,100,100,4.85,2214,18.5,0.004,15.39
01:25.4,100,100,4.85,2216,18.6,0.146,15.77
01:25.8,100,100,4.85,2213,18.6,0,16.15
01:26.1,100,100,4.85,2220,18.2,0.106,16.45
01:26.4,100,100,4.85,2220,18.3,0.044,16.76
01:26.6,100,100,4.85,2221,18.6,0.053,16.95
01:26.7,100,100,4.85,2221,18.9,0,17.05
01:26.9,100,100,4.85,2225,18.8,0.181,17.3
01:27.0,100,100,4.85,2224,18.6,0.053,17.39
01:27.3,100,100,4.85,2227,18.6,0,17.62
01:27.7,100,100,4.85,2233,18.8,0.013,18.04
01:28.4,100,100,4.85,2237,19.1,0,18.78
01:28.6,100,100,4.85,2239,18.5,0.03,18.97
01:28.7,100,100,4.85,2243,18.6,0,19.05
01:28.9,100,100,4.85,2244,19,0.287,19.26
01:29.0,100,100,4.85,2244,18.7,0,19.35
01:29.1,100,100,4.85,2245,19.1,0.314,19.46
01:29.4,100,100,4.85,2246,18.6,0.026,19.8
01:29.8,100,100,4.85,2246,18.5,0,20.14
01:29.9,100,100,4.85,2246,18.6,0.092,20.22
01:30.0,100,100,4.85,2246,18.6,0.208,20.35
01:30.4,100,100,4.85,2240,19,0.013,20.74
01:30.5,100,100,4.85,2238,18.4,0,20.83
01:30.6,100,100,4.85,2237,18.2,0,20.91
01:30.6,100,100,4.85,2236,18.8,0.305,20.98
01:30.8,100,100,4.85,2231,18.8,0.225,21.16
01:30.9,100,100,4.85,2235,18.6,0,21.25
01:31.1,100,100,4.85,2234,18.9,0.185,21.42
01:31.5,100,100,4.85,2231,18.4,0,21.8
01:31.5,100,100,4.85,2234,18.5,0.053,21.88
01:31.6,100,100,4.85,2233,18.3,0,21.97
01:31.8,100,100,4.85,2232,18.6,0,22.15
01:31.9,100,100,4.85,2230,18.5,0.044,22.23
01:32.0,100,100,4.85,2233,18.4,0.163,22.3
01:32.0,100,100,4.85,2230,18.6,0.177,22.39
01:32.6,100,100,4.85,2230,18.8,0.053,22.9
01:33.1,100,100,4.85,2236,18.8,0.177,23.38
01:33.2,100,100,4.85,2236,18.4,0.066,23.49
01:33.3,100,100,4.85,2236,18.6,0,23.66
01:33.4,100,100,4.85,2233,18.3,0,23.74
01:33.5,100,100,4.85,2236,18.6,0.385,23.83
01:33.6,100,100,4.85,2235,18.5,0.101,23.93
01:33.9,100,100,4.85,2236,18.6,0,24.19
01:34.2,100,100,4.85,2239,18.4,0.097,24.58
01:34.5,100,100,4.85,2236,18.6,0,24.84
01:34.6,100,100,4.85,2238,18.4,0.345,24.92
01:34.7,100,100,4.85,2237,18.5,0.088,25.01
01:35.1,100,100,4.85,2235,18.6,0,25.43
01:35.4,100,100,4.85,2234,19,0,25.75
01:35.7,100,100,4.85,2235,19,0.389,25.98
01:36.5,100,100,4.85,2239,18.9,0,26.85
01:36.6,100,100,4.85,2239,18.7,0,26.94
01:36.9,100,100,4.85,2238,18.7,0.013,27.23
01:37.2,100,100,4.85,2238,19,0.261,27.5
01:37.4,100,100,4.85,2239,18.9,0.38,27.72
01:37.5,100,100,4.85,2237,18.4,0.057,27.83
01:38.0,100,100,4.85,2232,18.6,0,28.32
01:38.1,100,100,4.85,2234,18.8,0,28.44
01:38.2,100,100,4.85,2233,18.6,0,28.53
01:38.4,100,100,4.85,2235,18.3,0,28.72
01:38.8,100,100,4.85,2239,18.8,0.084,29.11
01:38.9,100,100,4.85,2236,18.6,0,29.19
01:39.0,100,100,4.85,2238,18.6,0.296,29.27
01:39.1,100,100,4.85,2239,19.1,0.216,29.45
01:39.2,100,100,4.85,2241,18.8,0,29.54
01:39.3,100,100,4.85,2238,18.7,0,29.62
01:39.4,100,100,4.85,2242,18.8,0.177,29.68
