Time,Inputs | Throttle Command,Inputs | Mapped Throttle,Inputs | Throttle Pot,Motor | Motor RPM,Vehicle | Vehicle Speed,Vehicle | Vehicle Acceleration,Vehicle | Time Between Speeds,Vehicle | Braking Distance Captured
10:45.9,58.7,57.6,2.94,2031,16.6,0,11.88,0
10:46.0,58.4,60.2,2.96,2031,17.1,0.119,11.96,0
10:46.1,57.9,57.7,2.98,2027,16.9,0.044,12.06,0
10:46.2,58.2,58.6,3.04,2025,16.8,0,12.16,0
10:46.6,60.5,61.3,2.99,2025,16.5,0,12.5,0
10:46.9,59.9,59.2,3.04,2021,17,0,12.79,0
10:47.0,59.5,59.5,2.98,2024,17.2,0,12.92,0
10:47.1,59.7,59.5,3,2026,16.9,0,13.01,0
10:48.1,59.9,59.2,3.01,2067,17.3,0,14.04,0
10:48.2,59.3,58.8,3.01,2069,17.3,0.079,14.13,0
10:48.3,59.5,59.8,2.99,2072,17.4,0.017,14.23,0
10:48.4,59.8,59.2,3.01,2073,17.7,0.035,14.33,0
10:48.9,60.1,60.1,3,2087,17.7,0,14.8,0
10:49.3,60.1,60,3,2093,17.5,0,15.2,0
10:49.5,59.7,60.6,3.06,2097,17.4,0.044,15.42,0
10:50.1,58.6,57.8,2.95,2105,17.8,0,16.04,0
10:50.3,58.4,57.8,2.93,2104,17.7,0.23,16.18,0
10:50.4,58.5,58.8,2.93,2101,17.2,0.19,16.32,0
10:50.5,58.4,57.8,2.93,2099,17.7,0.292,16.41,0
10:50.6,58.4,57.9,3.03,2096,17.3,0,16.5,0
10:50.9,58,58.8,2.94,2089,17.3,0.057,16.79,0
10:51.1,58.1,58.3,2.99,2078,16.8,0,17.07,0
10:51.4,58.5,58.1,2.98,2072,16.7,0,17.3,0
10:51.5,58.3,59.6,2.94,2071,16.8,0.278,17.39,0
10:52.5,58.5,59.6,3.03,2041,17.2,0.061,18.41,0
10:52.6,58.4,57.8,2.94,2040,17.2,0.172,18.52,0
10:52.8,58.3,57.9,2.95,2039,16.7,0,18.7,0
10:52.9,57.9,58.8,2.94,2039,16.8,0.15,18.8,0
10:53.0,57.9,59.5,2.96,2038,17.1,0,18.88,0
10:53.4,58,57.8,2.97,2033,16.7,0,19.32,0
10:53.5,58.5,57.8,2.94,2030,16.6,0,19.44,0
10:53.6,57.9,57.9,2.98,2030,16.8,0.212,19.53,0
10:54.2,60.5,59,2.99,2023,16.9,0.278,20.15,0
10:54.3,59.3,60.3,3.01,2020,17.2,0.34,20.24,0
10:54.5,59.7,60.1,2.97,2019,16.4,0,20.44,0
10:54.6,59.9,59,3.01,2019,16.6,0.389,20.55,0
10:54.7,59.7,61.4,3.02,2018,17.1,0.358,20.65,0
10:55.3,60.3,59,2.97,2019,16.9,0.305,21.18,0
10:55.4,58.8,59.5,3.03,2016,17.1,0,21.26,0
10:55.5,60.6,59.2,3.04,2018,16.7,0.243,21.44,0
10:56.0,59.9,59.7,3.04,2012,16.8,0,21.89,0
10:56.4,59.7,59.6,2.98,2007,16.7,0.168,22.3,0
10:56.5,60,60.5,3.01,2006,17,0,22.4,0
10:56.7,59.7,58.5,2.98,2006,16.6,0.172,22.57,0
10:56.8,59.8,59.6,2.99,2007,17,0,22.66,0
10:56.9,59.2,59.4,3,2001,16.7,0,22.77,0
10:57.0,58.9,59.3,3.01,2000,16.6,0.168,22.85,0
10:57.2,60.4,59.1,2.97,2001,16.7,0,23.06,0
10:57.7,58.9,58.8,3.01,1993,16.7,0,23.62,0
10:57.9,60.2,58.7,3,1998,16.8,0.261,23.81,0
10:58.3,59.4,59.9,3.02,1997,16.6,0,24.22,0
10:58.7,59.7,58.5,2.96,2006,16.9,0.274,24.56,0
10:58.9,60.1,58.7,3.01,2013,17,0.247,24.78,0
10:59.3,60.2,58.9,2.99,2018,16.7,0,25.13,0
10:59.4,59.1,59.2,3.06,2019,17,0,25.32,0
10:59.6,60.3,59.7,2.97,2022,16.9,0.061,25.51,0
10:59.7,59.3,59.1,3.03,2023,16.7,0,25.59,0
11:00.1,59.9,62.1,3.03,2028,16.7,0.185,25.99,0
11:00.5,60.2,62,3,2022,16.6,0,26.39,0
11:00.6,59.7,58.8,3.05,2022,16.7,0.101,26.48,0
11:00.7,59.6,58.8,3.07,2020,16.7,0,26.56,0
11:00.8,59.7,61.1,3.01,2018,17,0.177,26.65,0
11:00.9,60.2,59.9,3.01,2019,17.1,0.123,26.78,0
11:01.0,59.2,58.6,2.98,2017,16.3,0,26.86,0
11:01.1,59.9,58.9,2.97,2019,17.1,0,26.96,0
11:01.4,59.7,60.3,2.98,2023,16.6,0.048,27.31,0
11:01.6,59.3,59.2,2.97,2022,16.7,0,27.51,0
11:01.9,60.1,59.1,3,2023,16.9,0.004,27.77,0
11:02.3,59.1,58.7,2.96,2023,16.7,0.34,28.16,0
11:02.4,59.9,62,3,2023,16.7,0.039,28.3,0
11:02.5,60.7,59.3,3,2026,17,0.132,28.38,0
11:02.9,60.2,59.6,3,2027,16.9,0.035,28.73,0
11:03.1,59.8,60.1,3.01,2029,16.7,0,29.02,0
11:03.2,60,58.4,3.06,2032,16.9,0.203,29.11,0
11:03.4,60,61.9,3.03,2032,17.5,0.101,29.3,0
11:03.5,59.9,61.6,2.99,2036,17.2,0.035,29.38,0
11:03.9,59.8,59.4,3.02,2033,16.4,0,29.73,0
11:04.1,59,59.3,3.05,2035,16.9,0,29.94,0
11:04.2,61.3,59.6,3,2038,17.4,0.146,30.02,0
11:04.3,59.1,58.6,2.98,2038,16.8,0,30.18,0
11:04.4,60.1,59,2.97,2040,17.1,0.146,30.28,0
11:04.5,59.8,60.7,3,2042,17.1,0.07,30.38,0
11:04.7,59.6,60.8,2.98,2041,17.1,0,30.61,0
11:05.0,60.1,60,3.03,2039,16.7,0,30.89,0
11:05.2,59.8,59.4,2.98,2038,17.1,0.044,31.09,0
11:05.3,60.4,59.5,3.01,2036,17.3,0.292,31.2,0
11:06.1,60,60.1,3.06,2029,17.4,0.048,31.93,0
11:06.2,59.6,59,2.98,2033,17,0,32.06,0
11:06.7,59.4,59.8,2.99,2033,16.9,0,32.6,0
11:06.9,58.9,59.3,2.97,2036,17,0,32.73,0
11:07.4,59,58.7,2.99,2042,17,0.03,33.24,0
11:07.6,59.3,59.2,2.98,2044,17,0,33.44,0
11:07.8,60.1,59.5,3,2044,17.1,0.137,33.62,0
11:07.9,59.6,59.3,3.01,2045,17.1,0,33.7,0
11:08.0,60.3,62.2,3.01,2043,17.4,0.208,33.83,0
11:08.4,60.4,60.1,3.01,2045,16.9,0,34.26,0
11:08.6,59.7,58.9,3.05,2046,16.6,0,34.48,0
11:08.9,59.5,58.8,3,2041,16.8,0,34.75,0
11:09.5,0,0,0.29,2039,16.5,0.154,35.34,0
11:09.6,0,0,0.29,2028,16,0,35.43,0
11:09.7,0,0,0.29,2017,15.6,0,35.51,0
11:09.9,0,0,0.29,1992,15.7,0,35.7,0
11:09.9,0,0,0.29,1982,16.3,0.137,35.8,0
11:10.1,0,0,0.29,1978,16.1,0,35.89,0
11:10.2,0,0,0.29,1965,16.2,0.132,36,0
11:10.4,0,0,0.29,1946,15.1,0,36.21,0
11:10.9,0,0,0.29,1863,14.3,0.044,36.71,0
11:11.1,0,0,0.29,1818,13.7,0,36.93,0
11:11.2,0,0,0.29,1797,13.5,0,37.03,0
11:11.5,0,0,0.29,1730,12.9,0,37.36,0
11:11.7,0,0,0.29,1692,12.8,0,37.56,0
11:11.8,0,0,0.29,1670,12.1,0,37.65,0
11:12.0,0,0,0.29,1637,12.3,0,37.79,0
11:12.0,0,0,0.29,1619,12.2,0,37.88,0
11:12.1,0,0,0.29,1596,11.5,0.159,37.96,0
11:12.4,0,0,0.29,1531,11.5,0.203,38.23,0
11:12.8,0,0,0.29,1422,10.5,0,38.6,0
11:13.0,0,0,0.27,1364,9.9,0.123,38.8,0
11:13.0,0,0,0.27,1336,9.3,0,38.88,0
11:13.5,0,0,0.27,1209,8.2,0,39.28,0
11:13.7,0,0,0.28,1110,7.1,0,39.55,0
11:13.8,0,0,0.28,1085,6.8,0,39.63,0
11:13.9,0,0,0.27,1048,6.6,0,39.72,0
11:14.1,0,0,0.28,981,6.1,0,39.91,0
11:14.2,0,0,0.28,945,5.7,0,40,0
11:14.3,0,0,0.28,921,5.5,0,40.08,0
11:14.4,0,0,0.27,886,5.2,0,40.18,0
11:14.4,0,0,0.28,849,4.9,0,40.26,0
11:14.5,0,0,0.29,812,4.5,0,40.36,0
11:14.9,0,0,0.29,689,3.8,0,40.72,0
11:15.3,0,0,0.29,574,2.9,0,41.08,0
11:15.3,0,0,0.29,544,2.8,0,41.1,0
11:15.5,0,0,0.29,486,2.3,0,41.1,0
11:15.8,0,0,0.3,405,1.8,0.017,41.1,0
11:15.9,0,0,0.29,380,1.7,0.004,41.1,0
11:16.1,0,0,0.29,334,1.5,0,41.1,0
11:16.3,0,0,0.3,291,1.2,0,41.1,0
11:16.4,0,0,0.29,265,1,0,41.1,0
11:16.5,0,0,0.29,246,0.9,0,41.1,0
11:16.6,0,0,0.29,235,0.8,0,41.1,0
11:16.9,0,0,0.3,178,0.5,0,41.1,0
11:17.0,0,0,0.31,158,0.4,0,41.1,0
11:17.1,0,0,0.31,149,0.3,0,41.1,0
11:17.2,0,0,0.31,135,0.3,0,41.1,0
11:17.3,0,0,0.31,121,0.2,0,41.1,0
11:17.4,0,0,0.32,108,0.1,0,41.1,0
11:17.6,0,0,0.3,84,0,0,41.1,0
11:17.8,0,0,0.29,66,0,0,41.1,0
11:17.8,0,0,0.29,58,0,0,41.1,0
11:18.0,0,0,0.29,44,0,0,41.1,0
11:18.1,0,0,0.3,40,0,0,41.1,0
11:18.2,0,0,0.3,32,-0.2,0,41.1,0
11:18.3,0,0,0.29,24,-0.2,0,41.1,0
11:18.4,0,0,0.29,17,-0.2,0,41.1,0
11:18.8,0,0,0.3,-5,-0.2,0,41.1,0
11:19.2,0,0,0.29,-20,-0.3,0.008,41.1,0
11:19.4,0,0,0.3,-23,-0.3,0.008,41.1,0
11:19.5,0,0,0.3,-25,-0.3,0,41.1,0
11:19.6,0,0,0.3,-28,-0.2,0,41.1,0
11:19.7,0,0,0.29,-29,-0.2,0.004,41.1,0
11:20.0,0,0,0.3,-30,-0.2,0.004,41.1,0
11:20.1,0,0,0.3,-30,-0.2,0.004,41.1,0
11:20.1,0,0,0.29,-30,-0.2,0,41.1,0
11:20.3,0,0,0.29,-30,-0.2,0.004,41.1,0
11:20.3,0,0,0.29,-29,-0.2,0.013,41.1,0
11:20.4,0,0,0.3,-29,-0.1,0.008,41.1,0
11:20.6,0,0,0.29,-27,0,0.022,41.1,0
11:20.8,0,0,0.29,-19,0,0,41.1,0
11:21.3,0,0,0.29,-10,0,0,41.1,0
11:21.5,0,0,0.29,-8,0,0,41.1,0
11:21.6,0,0,0.3,-7,0,0,41.1,0
11:21.7,0,0,0.29,-6,0,0,41.1,0
11:21.8,0,0,0.29,-5,0,0,41.1,0
11:22.0,0,0,0.3,-4,0,0,41.1,0
11:22.1,0,0,0.3,-3,0,0,41.1,0
11:22.2,0,0,0.3,-3,0,0,41.1,0
11:22.2,0,0,0.31,-3,0,0,41.1,0
11:22.3,0,0,0.3,-2,0,0,41.1,0
11:22.4,0,0,0.3,-2,0,0,41.1,0
11:22.5,0,0,0.29,-2,0,0,41.1,0
11:22.6,0,0,0.3,-1,0,0,41.1,0
11:23.0,0,0,0.31,-1,0,0,41.1,0
11:23.2,0,0,0.3,-1,0,0,41.1,0
11:23.3,0,0,0.3,0,0,0,41.1,0
11:23.4,0,0,0.3,0,0,0,41.1,0
11:23.7,0,0,0.31,0,0,0,41.1,0
11:23.9,0,0,0.3,0,0,0,41.1,0
11:24.0,0,0,0.29,0,0,0,41.1,0
11:24.0,0,0,0.31,0,0,0,41.1,0
11:24.2,0,0,0.3,0,0,0,41.1,0
11:24.6,0,0,0.31,0,0,0,41.1,0
11:24.8,0,0,0.31,0,0,0,41.1,0
11:24.8,0,0,0.31,0,0,0,41.1,0
11:25.0,0,0,0.29,0,0,0,41.1,0
11:25.0,0,0,0.3,0,0,0,41.1,0
11:25.1,0,0,0.3,0,0,0,41.1,0
11:25.3,0,0,0.3,0,0,0,41.1,0
11:25.4,0,0,0.31,0,0,0,41.1,0
11:25.5,0,0,0.3,0,0,0,41.1,0
11:25.6,0,0,0.31,0,0,0,41.1,0
11:25.7,0,0,0.3,0,0,0,41.1,0
11:26.1,0,0,0.3,0,0,0,41.1,0
11:26.2,0,0,0.3,0,0,0,41.1,0
11:26.4,0,0,0.31,0,0,0,41.1,0
11:26.5,0,0,0.3,0,0,0,41.1,0
11:26.6,0,0,0.31,0,0,0,41.1,0
11:26.7,0,0,0.3,0,0,0,41.1,0
11:26.8,0,0,0.29,0,0,0,41.1,0
11:26.9,0,0,0.3,0,0,0,41.1,0
11:27.3,0,0,0.31,0,0,0,41.1,0
