latitude,longitude
12.989741025862209,80.22619575745234
12.989741025862209,80.22619575745234
12.989741025862209,80.22619575745234
12.989741025862209,80.22619575745234
12.989741025862209,80.22619575745234
12.989741033070116,80.22619576318512
12.989741033070116,80.22619576318512
12.989741033070116,80.22619576318512
12.989741033070116,80.22619576318512
12.989741033070116,80.22619576318512
12.989741033070116,80.22619576318512
12.989741037543055,80.22619576500189
12.989741037543055,80.22619576500189
12.989741037543055,80.22619576500189
12.989741037543055,80.22619576500189
12.989741037543055,80.22619576500189
12.98974103552314,80.22619576215074
12.98974103552314,80.22619576215074
12.98974103552314,80.22619576215074
12.98974103552314,80.22619576215074
12.98974103552314,80.22619576215074
12.9897410392683,80.22619575961255
12.9897410392683,80.22619575961255
12.9897410392683,80.22619575961255
12.9897410392683,80.22619575961255
12.9897410392683,80.22619575961255
12.989741041217384,80.22619575616598
12.989741041217384,80.22619575616598
12.989741041217384,80.22619575616598
12.989741041217384,80.22619575616598
12.989741041217384,80.22619575616598
12.989741041217384,80.22619575616598
12.989741042750962,80.22619576102085
12.989741042750962,80.22619576102085
12.989741042750962,80.22619576102085
12.989741042750962,80.22619576102085
12.989741042750962,80.22619576102085
12.989741042750962,80.22619576102085
12.98974104482297,80.2261957691963
12.98974104482297,80.2261957691963
12.98974104482297,80.2261957691963
12.98974104482297,80.2261957691963
12.98974104482297,80.2261957691963
12.989741049541514,80.22619577057411
12.989741049541514,80.22619577057411
12.989741049541514,80.22619577057411
12.989741049541514,80.22619577057411
12.989741049541514,80.22619577057411
12.989741049541514,80.22619577057411
12.989741054642918,80.22619576722305
12.989741054642918,80.22619576722305
12.989741054642918,80.22619576722305
12.989741054642918,80.22619576722305
12.989741054642918,80.22619576722305
12.989741055627189,80.22619576994819
12.989741055627189,80.22619576994819
12.989741055627189,80.22619576994819
12.989741055627189,80.22619576994819
12.989741055627189,80.22619576994819
12.989741055198245,80.22619576703609
12.989741055198245,80.22619576703609
12.989741055198245,80.22619576703609
12.989741055198245,80.22619576703609
12.989741055198245,80.22619576703609
12.989741055198245,80.22619576703609
12.989741056244773,80.22619576597123
12.989741056244773,80.22619576597123
12.989741056244773,80.22619576597123
12.989741056244773,80.22619576597123
12.989741056244773,80.22619576597123
12.989741056244773,80.22619576597123
12.989741056244773,80.22619576597123
12.989741055387594,80.22619576807047
12.989741055387594,80.22619576807047
12.989741055387594,80.22619576807047
12.98974104977321,80.22619577468114
12.98974104977321,80.22619577468114
12.98974104977321,80.22619577468114
12.98974104977321,80.22619577468114
12.98974104977321,80.22619577468114
12.98974104977321,80.22619577468114
12.989741055279952,80.22619577214296
12.989741055279952,80.22619577214296
12.989741055279952,80.22619577214296
12.989741055279952,80.22619577214296
12.989741055279952,80.22619577214296
12.989741054639897,80.22619577057819
12.989741054639897,80.22619577057819
12.989741054639897,80.22619577057819
12.989741054639897,80.22619577057819
12.989741054639897,80.22619577057819
12.989741054639897,80.22619577057819
12.989741056974395,80.22619577480714
12.989741056974395,80.22619577480714
12.989741056974395,80.22619577480714
12.989741056974395,80.22619577480714
12.989741056974395,80.22619577480714
12.989741064774435,80.22619576998275
12.989741064774435,80.22619576998275
12.989741064774435,80.22619576998275
12.989741064774435,80.22619576998275
12.989741064774435,80.22619576998275
12.989741064774435,80.22619576998275
12.989741064682551,80.2261957739902
12.989741064682551,80.2261957739902
12.989741064682551,80.2261957739902
12.989741064682551,80.2261957739902
12.989741064682551,80.2261957739902
12.989741069595317,80.22619577752822
12.989741069595317,80.22619577752822
12.989741069595317,80.22619577752822
12.989741069595317,80.22619577752822
12.989741069595317,80.22619577752822
12.98974107178584,80.22619578044032
12.98974107178584,80.22619578044032
12.98974107178584,80.22619578044032
12.98974107178584,80.22619578044032
12.98974107178584,80.22619578044032
12.989741069596024,80.22619578545168
12.989741069596024,80.22619578545168
12.989741069596024,80.22619578545168
12.989741069596024,80.22619578545168
12.989741069596024,80.22619578545168
12.989741069596024,80.22619578545168
12.989741071340712,80.22619578895922
12.989741071340712,80.22619578895922
12.989741071340712,80.22619578895922
12.989741071340712,80.22619578895922
12.989741071340712,80.22619578895922
12.989741071323824,80.22619579246675
12.989741071323824,80.22619579246675
12.989741071323824,80.22619579246675
12.989741071323824,80.22619579246675
12.989741071323824,80.22619579246675
12.989741071323824,80.22619579246675
12.989741071588876,80.22619580092469
12.989741071588876,80.22619580092469
12.989741071588876,80.22619580092469
12.989741071588876,80.22619580092469
12.989741071588876,80.22619580092469
12.98974107166874,80.22619580155059
12.98974107166874,80.22619580155059
12.98974107166874,80.22619580155059
12.98974107166874,80.22619580155059
12.98974107166874,80.22619580155059
12.98974107166874,80.22619580155059
12.989741071022674,80.2261958023025
