Topic:,/fixposition/fpa/odometry
time,pos_x,pos_y,pos_z,qx,qy,qz,qw,vel_x,vel_y,vel_z,ang_vel_x,ang_vel_y,ang_vel_z,acc_x,acc_y,acc_z
1770803064.6455278,1055163.3467,6125692.1758,1424285.19,0.003502,0.619367,0.77511,0.124807,0.0007,-0.0003,-0.0001,0.00066,-0.00012,-5e-05,-0.0544,-0.0938,9.8133
1770803064.6911023,1055163.3467,6125692.1758,1424285.19,0.003475,0.619367,0.775114,0.124787,0.0,-0.0002,0.0001,0.00044,0.00206,0.00017,-0.0056,-0.0884,9.804
1770803064.7416887,1055163.3467,6125692.1758,1424285.19,0.003475,0.619367,0.775114,0.124787,0.0,-0.0002,0.0001,0.00028,0.00216,1e-05,-0.0014,-0.0813,9.8132
1770803064.793417,1055163.3467,6125692.1758,1424285.19,0.003475,0.619367,0.775114,0.124787,0.0,-0.0002,0.0001,0.00093,-0.00359,-0.00071,-0.0242,-0.0883,9.8001
1770803064.8429039,1055163.3467,6125692.1758,1424285.19,0.003475,0.619367,0.775114,0.124787,0.0,-0.0002,0.0001,0.00042,0.00385,0.00061,-0.03,-0.0915,9.8268
1770803064.919307,1055163.3467,6125692.1758,1424285.19,0.003475,0.619367,0.775114,0.124787,0.0,-0.0002,0.0001,0.00122,-0.0013,-0.00015,-0.0427,-0.098,9.8064
1770803064.942732,1055163.3467,6125692.1758,1424285.1899,0.003459,0.619374,0.775112,0.124763,0.001,-0.0001,-0.0001,-0.0005,0.00105,0.0,-0.0437,-0.0985,9.8051
1770803064.9904706,1055163.3467,6125692.1758,1424285.1899,0.003459,0.619374,0.775112,0.124763,0.001,-0.0001,-0.0001,-0.00018,-0.00202,-0.00082,-0.0527,-0.0937,9.8203
1770803065.0407305,1055163.3467,6125692.1758,1424285.1899,0.003459,0.619374,0.775112,0.124763,0.001,-0.0001,-0.0001,-0.002,0.00104,-0.0004,-0.0563,-0.0872,9.8078
1770803065.0911992,1055163.3467,6125692.1758,1424285.1899,0.003459,0.619374,0.775112,0.124763,0.001,-0.0001,-0.0001,-0.00076,0.00019,0.00041,-0.062,-0.0983,9.8182
1770803065.144007,1055163.3467,6125692.1758,1424285.1899,0.003459,0.619374,0.775112,0.124763,0.001,-0.0001,-0.0001,0.00088,-0.00066,0.0007,-0.0516,-0.0899,9.7983
1770803065.1893797,1055163.3467,6125692.1758,1424285.1899,0.003459,0.619374,0.775112,0.124763,0.001,-0.0001,-0.0001,-0.00212,0.00507,0.00085,-0.0522,-0.0909,9.8166
1770803065.2450678,1055163.3466,6125692.1758,1424285.1899,0.003424,0.619398,0.775093,0.124762,0.0007,-0.0004,-0.0001,0.00163,-0.00551,-0.00055,-0.043,-0.0947,9.8029
1770803065.293159,1055163.3466,6125692.1758,1424285.1899,0.003424,0.619398,0.775093,0.124762,0.0007,-0.0004,-0.0001,0.00022,0.00087,0.00016,-0.0416,-0.0857,9.8213
1770803065.3395758,1055163.3466,6125692.1758,1424285.1899,0.003424,0.619398,0.775093,0.124762,0.0007,-0.0004,-0.0001,0.00129,-0.0013,0.00016,-0.0387,-0.0954,9.8024
1770803065.3976922,1055163.3466,6125692.1758,1424285.1899,0.003424,0.619398,0.775093,0.124762,0.0007,-0.0004,-0.0001,0.00137,-0.0055,-0.00042,-0.0513,-0.1079,9.8237
1770803065.439701,1055163.3466,6125692.1758,1424285.1899,0.003424,0.619398,0.775093,0.124762,0.0007,-0.0004,-0.0001,-0.00096,-0.00107,0.00013,-0.0562,-0.0982,9.8062
1770803065.4903498,1055163.3468,6125692.1758,1424285.19,0.003329,0.619378,0.775121,0.124686,0.0006,-0.0005,0.0003,0.00027,0.00057,-0.00031,-0.0494,-0.0893,9.8159
1770803065.5413895,1055163.3468,6125692.1758,1424285.19,0.003329,0.619378,0.775121,0.124686,0.0006,-0.0005,0.0003,-5e-05,0.00079,0.00025,-0.0445,-0.0928,9.8066
1770803065.5924637,1055163.3468,6125692.1758,1424285.19,0.003329,0.619378,0.775121,0.124686,0.0006,-0.0005,0.0003,0.00111,-0.00264,-0.0003,-0.0321,-0.0998,9.8074
1770803065.6396565,1055163.3468,6125692.1758,1424285.19,0.003329,0.619378,0.775121,0.124686,0.0006,-0.0005,0.0003,-0.00058,0.00057,-0.00047,-0.0391,-0.0958,9.8236
