Topic:,/fixposition/poiimu
time,ang_vel_x,ang_vel_y,ang_vel_z,lin_acc_x,lin_acc_y,lin_acc_z
1770803066.8925276,0.0003,-0.00176,-0.00022,-0.041,-0.0909,9.8138
1770803066.941192,0.00022,0.00071,0.00024,-0.041,-0.0889,9.8074
1770803066.9903455,-0.00044,0.00149,-0.00014,-0.0424,-0.0794,9.8044
1770803067.043531,-0.00046,7e-05,0.00019,-0.03,-0.0911,9.8137
1770803067.0899916,-0.00079,0.00147,-0.00046,-0.0434,-0.098,9.8087
1770803067.143753,0.00176,-0.00178,-0.0003,-0.0367,-0.0876,9.8021
1770803067.193276,-0.00115,0.00299,-0.0002,-0.0222,-0.0867,9.8074
1770803067.2404902,-0.00091,0.00223,-3e-05,-0.0112,-0.087,9.7949
1770803067.2902615,0.00038,0.00011,-0.00013,-0.0156,-0.0828,9.8138
1770803067.3396194,-0.0008,0.0024,0.00015,-0.0329,-0.0934,9.8024
1770803067.390242,0.00206,-0.00281,5e-05,-0.034,-0.0812,9.82
1770803067.4411068,0.00063,-0.00072,0.00034,-0.0503,-0.0996,9.8065
1770803067.4911525,0.00176,-0.00249,-0.0005,-0.0386,-0.0854,9.8179
1770803067.540031,-0.00127,0.00216,0.00066,-0.0516,-0.0953,9.8168
1770803067.59019,-0.00085,0.00087,-0.00032,-0.0438,-0.0934,9.8074
1770803067.6423652,0.00084,0.00052,-1e-05,-0.0439,-0.0996,9.8133
1770803067.6903517,-0.00119,-0.00058,0.00019,-0.0368,-0.0939,9.8067
1770803067.7405531,0.00074,0.00234,0.00073,-0.0339,-0.0897,9.8122
1770803067.7906399,0.00101,-0.00154,0.00013,-0.0342,-0.0835,9.8081
1770803067.84092,-1e-05,-0.00034,4e-05,-0.04,-0.0891,9.8091
1770803067.8932989,0.0018,-0.00317,-0.00051,-0.0513,-0.0803,9.7999
1770803067.9406097,0.0012,-0.00246,-0.00019,-0.0511,-0.0902,9.8198
1770803067.9915326,-0.00031,0.0021,0.00059,-0.0441,-0.0925,9.8129
1770803068.0411344,-0.0006,-0.00164,-5e-05,-0.0442,-0.0882,9.8086
1770803068.0928283,4e-05,-0.00083,0.00017,-0.0504,-0.0872,9.8088
1770803068.1403654,0.00096,-0.00202,-0.00031,-0.0485,-0.0947,9.8065
1770803068.1902003,-0.00015,0.00193,-0.0002,-0.0412,-0.0913,9.8104
1770803068.2399752,-0.00184,0.00419,0.00059,-0.0294,-0.0877,9.8068
1770803068.2894392,0.0,-0.00014,9e-05,-0.0356,-0.0932,9.8132
1770803068.3397045,-9e-05,0.00164,0.00052,-0.0372,-0.0975,9.8072
1770803068.3905993,-0.00068,0.001,0.00024,-0.0416,-0.0966,9.8102
1770803068.4431744,-0.00142,0.00247,-6e-05,-0.0369,-0.0938,9.8072
1770803068.489563,0.00057,-0.00059,-0.00021,-0.0367,-0.0924,9.8182
1770803068.5470974,0.00087,-0.00075,5e-05,-0.0377,-0.0994,9.8042
1770803068.5920687,0.00087,-0.00052,6e-05,-0.0315,-0.0913,9.8145
1770803068.6407547,0.00124,-0.00206,-0.00015,-0.0351,-0.0901,9.8098
1770803068.6899378,-0.00073,-0.0001,-0.0004,-0.0423,-0.0883,9.806
1770803068.7515054,-0.00157,0.00392,0.0002,-0.0531,-0.0847,9.8109
1770803068.7900505,0.00049,-0.0003,0.00019,-0.0331,-0.0859,9.805
1770803068.844673,0.00122,-0.00197,-0.00015,-0.0402,-0.0896,9.8131
1770803068.8917968,0.00107,-0.00066,1e-05,-0.0339,-0.0883,9.8054
1770803068.9425597,-0.00099,0.00279,0.00021,-0.0378,-0.0961,9.8166
1770803068.9901204,-0.00033,-0.00146,-0.00045,-0.0415,-0.0853,9.8089
