Topic:,/fixposition/poiimu
time,ang_vel_x,ang_vel_y,ang_vel_z,lin_acc_x,lin_acc_y,lin_acc_z
1771240782.198749,0.00237,-0.00499,-0.00033,0.0151,-0.1062,9.8104
1771240782.2433705,0.0017,0.0033,0.00051,-0.0054,-0.0833,9.8046
1771240782.293123,-0.00074,-0.00106,-0.00049,-0.0029,-0.0962,9.8072
1771240782.3426886,-0.00169,0.00189,-0.00049,0.0065,-0.0779,9.8115
1771240782.392085,-0.00125,0.00173,0.00058,0.0048,-0.0954,9.8101
1771240782.442348,0.00162,-0.00237,-0.00032,0.0013,-0.1107,9.8068
1771240782.497369,0.0012,-0.00177,-1e-05,-0.0033,-0.0779,9.8163
1771240782.5448046,0.00096,0.00071,0.00015,0.0114,-0.1134,9.811
1771240782.5926833,0.00058,0.00089,8e-05,0.0004,-0.0752,9.795
1771240782.647341,0.00048,-0.00115,-0.00014,-0.0015,-0.1046,9.8092
1771240782.6935377,4e-05,0.00082,0.00028,0.0018,-0.1044,9.8129
1771240782.7483468,-0.00133,0.00377,0.0005,0.0094,-0.0852,9.8057
1771240782.7924452,0.00095,-0.00276,-0.00074,0.0031,-0.0973,9.8065
1771240782.8532825,-0.00017,-0.00076,2e-05,-0.0066,-0.0784,9.8069
1771240782.8950539,0.00144,-0.00223,6e-05,0.003,-0.0926,9.8166
1771240782.9495437,-0.00012,0.00031,-6e-05,0.0057,-0.095,9.8099
1771240782.9923456,0.00045,0.00125,0.00021,-0.0006,-0.1052,9.8022
1771240783.0488803,-0.00018,0.00014,4e-05,-0.0042,-0.0888,9.8109
1771240783.0920289,0.0002,0.00044,0.00039,-0.0005,-0.0934,9.8026
1771240783.1501245,-0.00068,0.00292,3e-05,-0.0002,-0.0945,9.8198
1771240783.193071,-0.0002,0.00023,-0.00027,0.0064,-0.0999,9.8036
1771240783.2604232,0.00126,-0.00206,9e-05,-0.0039,-0.0882,9.801
1771240783.292057,0.00212,-0.00319,9e-05,0.0065,-0.1003,9.8033
1771240783.342446,-0.00073,0.00046,-0.00059,0.0095,-0.0828,9.8071
1771240783.3944147,-1e-05,9e-05,0.00034,-0.0046,-0.0859,9.8165
1771240783.4447153,0.00048,-0.00031,-0.00022,0.0098,-0.1036,9.7972
1771240783.4937816,0.00023,0.00129,0.00048,-0.0076,-0.0924,9.8053
1771240783.551258,-0.00094,0.00231,-0.00054,0.0085,-0.0956,9.8046
1771240783.5925357,0.00065,-0.00126,-0.00012,-0.0093,-0.0921,9.8097
1771240783.6426446,0.00265,-0.00143,0.00012,-0.0008,-0.0767,9.8228
1771240783.695024,-0.00046,-0.00219,0.00022,0.0215,-0.1072,9.8005
1771240783.7466178,0.00118,-0.00256,-0.00039,0.0021,-0.0762,9.8113
1771240783.7918718,0.00122,-0.00288,-0.00015,0.0103,-0.0928,9.8112
1771240783.8485346,0.0014,-0.0036,-0.00033,0.0054,-0.0844,9.8097
1771240783.896318,-0.00033,8e-05,0.00028,-0.0147,-0.0624,9.8203
1771240783.9462001,-0.00087,0.00265,-9e-05,-0.0069,-0.1042,9.8025
1771240783.9927876,-0.0006,0.00332,0.00041,-0.0262,-0.0891,9.8157
1771240784.0419438,0.00092,-0.00178,-0.00016,0.0206,-0.0844,9.8165
1771240784.0952792,0.00164,-0.00164,-5e-05,0.0292,-0.0863,9.8103
1771240784.142618,-0.00162,-0.00357,0.0003,-0.0958,-0.0838,9.7803
1771240784.1921594,-0.00011,0.001,0.00027,-0.0281,-0.0973,9.7982
1771240784.2430794,-0.00042,-0.0006,0.00036,-0.0101,-0.0927,9.8076
1771240784.2934837,-0.00064,0.00272,5e-05,0.0255,-0.1016,9.812
1771240784.3443332,-0.00014,0.00164,-0.0001,0.0254,-0.0632,9.8341
1771240784.3920975,0.00044,-0.00282,-0.00027,-0.024,-0.0958,9.7832
1771240784.4432926,-0.00028,-0.00339,-0.00103,0.0068,-0.1036,9.8222
1771240784.4923444,0.00057,-0.0017,-0.0003,0.0161,-0.1215,9.8063
1771240784.5445232,-0.0004,0.00151,0.00033,0.0128,-0.0981,9.8067
1771240784.5962102,0.00175,-0.0044,-0.00032,-0.002,-0.0756,9.8087
1771240784.6452274,-0.00142,0.00187,0.00015,0.0202,-0.0695,9.7969
1771240784.7004237,-0.00184,-0.00023,-0.00029,0.0145,-0.0703,9.8123
1771240784.7420266,0.00019,-0.0012,2e-05,-0.031,-0.1017,9.8305
1771240784.7974124,-0.00042,-0.00012,0.00017,-0.0089,-0.0996,9.7937
1771240784.842102,-0.00034,0.00071,0.00029,0.0311,-0.086,9.8183
1771240784.8990119,-0.00034,0.00297,7e-05,0.0099,-0.0836,9.7868
1771240784.942827,-0.00032,-0.0003,0.00018,0.0204,-0.0848,9.8091
1771240784.995761,-0.00147,-0.00207,0.00017,-0.0513,-0.0724,9.8029
1771240785.0425348,0.00013,0.00162,0.00028,0.0576,-0.124,9.7893
1771240785.095152,0.00104,0.0011,-0.00062,0.0275,-0.082,9.7486
1771240785.1426022,-0.00049,-0.00512,0.00068,0.0613,-0.0436,9.788
1771240785.201426,-0.0033,0.00824,0.0002,0.0139,-0.1279,9.8014
1771240785.2467823,0.00033,-5e-05,-0.00071,0.0557,-0.1286,9.8723
1771240785.302712,0.0001,-0.00279,-0.00026,0.0621,-0.102,9.7629
1771240785.3449013,0.00022,0.00127,-0.0009,0.06,-0.076,9.8315
1771240785.4033823,-2e-05,-0.00144,-0.00071,0.0482,-0.1101,9.8203
1771240785.4457867,-0.00037,-0.00049,-0.00107,0.02,-0.0765,9.778
1771240785.49217,-0.00023,0.00265,-0.0003,0.035,-0.0946,9.8342
1771240785.5475342,0.00053,-0.00432,-0.00109,-0.0143,-0.0803,9.7987
1771240785.5928516,3e-05,-0.00186,-0.00129,0.0264,-0.0904,9.8018
1771240785.6421227,0.00118,-0.00208,-0.00103,-0.0117,-0.1047,9.8045
1771240785.6951706,-0.00012,0.00119,-0.0005,0.024,-0.0777,9.8268
1771240785.7426777,-0.00186,0.00219,-0.00129,-0.0137,-0.0952,9.7955
1771240785.7927864,-0.00122,0.00339,-0.00089,0.0263,-0.0795,9.8142
1771240785.8458145,0.00077,-0.00331,-0.00084,-0.0537,-0.0914,9.8096
1771240785.8926544,-0.00071,0.00398,-0.0008,-0.0134,-0.0734,9.8041
1771240785.9455597,0.00045,-0.00906,-0.00096,-0.495,0.0522,9.7282
1771240785.9958525,-1e-05,0.01555,0.00018,0.2241,0.0147,9.8243
1771240786.042945,-0.00272,0.02063,0.00123,0.1745,-0.1355,9.6736
1771240786.0956416,0.00038,-0.00576,-5e-05,-0.1991,-0.0288,9.9487
1771240786.1462476,0.0008,-0.00642,0.00039,-0.2747,-0.1638,9.7843
1771240786.194982,9e-05,0.00075,0.00017,-0.0054,-0.0972,9.849
1771240786.2457602,-0.00066,0.00222,0.00082,-0.0745,-0.0534,9.8049
1771240786.2924836,0.00267,-0.00625,-0.00074,0.0418,-0.1059,9.7961
1771240786.3472292,3e-05,-0.00121,0.00077,-0.0122,-0.0855,9.8197
1771240786.39435,-0.00018,-0.00118,0.00054,-0.0553,-0.0917,9.7878
1771240786.446497,-0.00081,-0.00095,0.00077,-0.0041,-0.1091,9.8069
1771240786.4948113,-0.00021,-0.00141,0.00045,-0.0063,-0.0978,9.8026
1771240786.5433013,-3e-05,-0.00101,0.00102,-0.0179,-0.0869,9.8105
1771240786.6042914,-0.0002,-0.00034,0.0005,0.0008,-0.0988,9.7877
1771240786.6478791,-0.00036,0.0046,0.00108,0.065,-0.1191,9.7777
1771240786.6937077,0.00124,0.00061,0.00056,0.053,-0.0606,9.7964
1771240786.7457314,-0.00084,0.00113,0.001,0.1132,-0.0952,9.8512
1771240786.7936974,-0.00051,0.00216,0.00105,0.0105,-0.0943,9.8784
1771240786.8448374,0.00267,-0.00613,0.00064,-0.0253,-0.1499,9.7841
1771240786.8938534,1e-05,-0.00174,0.00014,0.0856,-0.157,9.8364
1771240786.95317,-0.00139,0.00105,0.00126,0.0345,-0.1384,9.8227
1771240786.9970362,-0.00104,-0.00149,0.00093,0.0423,-0.1771,9.8279
1771240787.0436287,-0.00184,0.00301,0.0003,0.0736,-0.1743,9.725
1771240787.0929468,-0.0019,0.00225,0.00018,0.0852,-0.1316,9.8022
1771240787.1505523,-0.00143,-0.00305,0.00018,0.0716,-0.0272,9.7689
1771240787.2013023,0.00118,-0.0001,0.0006,0.1173,-0.125,9.774
1771240787.2581272,0.00033,0.00029,0.00083,0.0062,-0.1229,9.7019
1771240787.2920032,0.00118,-0.00142,-0.00142,-0.047,-0.0588,9.8458
1771240787.348592,0.00223,-0.0072,-0.00093,-0.0894,-0.0483,9.8202
1771240787.3958857,-0.00318,0.00207,-0.00048,0.0065,-0.0729,9.8499
1771240787.4703038,0.00015,0.00241,-0.00062,-0.0386,-0.0996,9.8475
