time,pos_x,pos_y,yaw,speed,yaw_rate,acc_x
1771240778.4930167,22.2799,21.6129,1.7004489345300229,0.0006324555320336758,0.00025,0.0176
1771240778.5527408,22.2799,21.6129,1.7004489345300229,0.0006324555320336758,-0.0001,-0.0069
1771240778.5932317,22.2799,21.6129,1.7004489345300229,0.0006324555320336758,-0.00047,-0.0052
1771240778.646034,22.2799,21.6129,1.7004489345300229,0.0006324555320336758,-0.00036,0.011
1771240778.6928537,22.2799,21.6129,1.7004489345300229,0.0006324555320336758,-7e-05,0.009
1771240778.7480617,22.2801,21.613,1.700431229553186,0.000848528137423857,0.0002,-0.0034
1771240778.7960346,22.2801,21.613,1.700431229553186,0.000848528137423857,-3e-05,-0.0004
1771240778.8516667,22.2801,21.613,1.700431229553186,0.000848528137423857,1e-05,0.0005
1771240778.8928688,22.2801,21.613,1.700431229553186,0.000848528137423857,0.00021,0.0118
1771240778.954645,22.2801,21.613,1.700431229553186,0.000848528137423857,-0.00028,-0.0001
1771240778.9989407,22.2797,21.6131,1.7004160826078616,0.0008246211251235322,-0.00056,0.0004
1771240779.045246,22.2797,21.6131,1.7004160826078616,0.0008246211251235322,6e-05,0.0032
1771240779.0932066,22.2797,21.6131,1.7004160826078616,0.0008246211251235322,-0.00048,-0.0017
1771240779.1425462,22.2797,21.6131,1.7004160826078616,0.0008246211251235322,-0.00013,0.0024
1771240779.193679,22.2797,21.6131,1.7004160826078616,0.0008246211251235322,-0.00017,0.0047
1771240779.2424774,22.2796,21.6134,1.7004222513946228,0.0007280109889280518,-0.0003,0.01
1771240779.2932074,22.2796,21.6134,1.7004222513946228,0.0007280109889280518,-0.00056,0.0073
1771240779.342482,22.2796,21.6134,1.7004222513946228,0.0007280109889280518,-0.00058,-0.0028
1771240779.3927636,22.2796,21.6134,1.7004222513946228,0.0007280109889280518,0.00025,0.0102
1771240779.4473455,22.2796,21.6134,1.7004222513946228,0.0007280109889280518,0.00047,-0.0004
1771240779.4961836,22.2796,21.6134,1.7004222513946228,0.0007280109889280518,-9e-05,0.0054
1771240779.543125,22.2796,21.6136,1.7003932749372117,0.0014866068747318507,-0.0004,0.0076
1771240779.5938594,22.2796,21.6136,1.7003932749372117,0.0014866068747318507,0.00016,-0.0112
1771240779.643247,22.2796,21.6136,1.7003932749372117,0.0014866068747318507,0.00039,-0.001
1771240779.721571,22.2796,21.6136,1.7003932749372117,0.0014866068747318507,-0.0004,0.0129
1771240779.7431705,22.2796,21.6136,1.7003932749372117,0.0014866068747318507,-0.0002,-0.0004
1771240779.7967365,22.2794,21.6135,1.7004143935965288,0.0014422205101855955,-0.00074,-0.0026
1771240779.8429594,22.2794,21.6135,1.7004143935965288,0.0014422205101855955,0.00015,0.0035
1771240779.8936296,22.2794,21.6135,1.7004143935965288,0.0014422205101855955,0.0001,0.0045
1771240779.9448707,22.2794,21.6135,1.7004143935965288,0.0014422205101855955,0.0,0.0013
1771240779.992427,22.2794,21.6135,1.7004143935965288,0.0014422205101855955,-0.00066,-0.0007
1771240780.042616,22.2792,21.6136,1.700389881996915,0.0016278820596099706,-0.00012,-0.0006
1771240780.0930529,22.2792,21.6136,1.700389881996915,0.0016278820596099706,-0.00062,0.004
1771240780.1430244,22.2792,21.6136,1.700389881996915,0.0016278820596099706,-0.00022,0.0033
1771240780.1926284,22.2792,21.6136,1.700389881996915,0.0016278820596099706,-0.00015,0.0054
1771240780.2426977,22.2792,21.6136,1.700389881996915,0.0016278820596099706,-0.00052,-0.0003
1771240780.292285,22.2792,21.6136,1.700389881996915,0.0016278820596099706,-0.0005,0.0034
1771240780.3421574,22.2791,21.6137,1.7003774615174128,0.0014999999999999998,0.0003,0.0158
1771240780.3971677,22.2791,21.6137,1.7003774615174128,0.0014999999999999998,3e-05,0.0039
1771240780.442532,22.2791,21.6137,1.7003774615174128,0.0014999999999999998,-0.00031,0.0119
1771240780.5004003,22.2791,21.6137,1.7003774615174128,0.0014999999999999998,0.00017,0.01
1771240780.5480475,22.2791,21.6137,1.7003774615174128,0.0014999999999999998,0.00025,-0.0023
1771240780.6029425,22.2796,21.6136,1.7003774511768464,0.00206155281280883,0.0002,-0.0128
1771240780.6427362,22.2796,21.6136,1.7003774511768464,0.00206155281280883,-0.00053,-0.0019
1771240780.700207,22.2796,21.6136,1.7003774511768464,0.00206155281280883,-0.00058,0.0052
1771240780.743441,22.2796,21.6136,1.7003774511768464,0.00206155281280883,-0.00022,0.0247
1771240780.79779,22.2796,21.6136,1.7003774511768464,0.00206155281280883,-3e-05,0.0046
1771240780.8443737,22.2795,21.6136,1.7003766437915482,0.002280350850198276,0.00058,-0.0094
1771240780.9056711,22.2795,21.6136,1.7003766437915482,0.002280350850198276,0.0008,-0.0084
1771240780.9434588,22.2795,21.6136,1.7003766437915482,0.002280350850198276,-0.00017,0.005
1771240781.000757,22.2795,21.6136,1.7003766437915482,0.002280350850198276,-0.00013,-0.0014
1771240781.047796,22.2795,21.6136,1.7003766437915482,0.002280350850198276,3e-05,0.0484
1771240781.1100829,22.2795,21.6136,1.7003766437915482,0.002280350850198276,-0.00048,-0.0155
